TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA0Pk,RA1Pk,BTBeac,BTCent,BTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA0Pk,BA1Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-cala-dm2-Q-1,1,1,1,11683,8894,0,5942,5218,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,0,0,1,0,4,0,0,0,0,0,0,0,1,false,0,0,0,0,0,4,0,2,0,0,0,0,
1617velv-cala-dm2-Q-2,1,1,2,9247,9894,0,11046,25,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,2,0,0,0,0,0,0,1,true,1,0,1,0,2,3,0,0,0,0,0,0,
1617velv-cala-dm2-Q-3,1,1,3,8496,6282,0,4348,10298,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,2,0,1,0,1,5,0,1,0,0,0,0,0,false,0,0,0,0,3,5,0,0,0,0,0,0,
1617velv-cala-dm2-Q-4,1,1,4,11167,8894,0,8415,9247,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,1,0,0,0,3,0,0,0,0,0,0,0,0,true,2,0,1,0,1,0,0,0,0,0,0,0,
1617velv-cala-dm2-Q-5,1,1,5,9894,25,0,5942,6282,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,0,2,2,0,0,0,0,0,0,1,false,0,0,0,0,2,0,0,3,0,0,0,0,
1617velv-cala-dm2-Q-6,1,1,6,8415,10298,0,11046,11683,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,2,0,3,0,1,3,0,0,0,0,0,0,0,true,0,0,1,0,3,0,0,0,0,0,0,0,
1617velv-cala-dm2-Q-7,1,1,7,8496,4348,0,11167,5218,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,3,0,0,0,2,5,0,0,0,0,0,0,1,true,3,0,0,0,2,3,0,0,0,0,0,0,
1617velv-cala-dm2-Q-8,1,1,8,8894,8415,0,6282,9894,0,0,0,0,false,false,false,0,0,0,false,false,false,1,0,0,1,0,0,1,0,false,0,0,0,0,4,3,0,0,0,0,0,0,0,true,0,0,1,0,0,0,0,2,0,0,0,0,
1617velv-cala-dm2-Q-9,1,1,9,9247,5218,0,10298,5942,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,2,2,0,3,0,0,0,0,2,true,0,0,1,0,2,5,0,0,0,0,0,0,
1617velv-cala-dm2-Q-10,1,1,10,11046,4348,0,11683,8496,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,1,0,3,3,0,1,0,0,0,0,0,false,2,0,1,0,0,0,0,0,0,0,0,0,
1617velv-cala-dm2-Q-11,1,1,11,11167,10298,0,25,8894,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,1,0,1,0,1,6,0,0,0,0,0,0,1,false,1,0,0,0,3,1,0,0,0,0,0,0,
1617velv-cala-dm2-Q-12,1,1,12,11683,9247,0,9894,8496,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,0,0,0,0,0,0,0,3,0,0,0,0,0,true,2,0,1,0,4,4,0,0,0,0,0,0,
1617velv-cala-dm2-Q-13,1,1,13,8415,25,0,4348,5218,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,3,0,1,0,2,4,0,0,0,0,0,0,0,false,3,0,0,0,2,2,0,0,0,0,0,0,
1617velv-cala-dm2-Q-14,1,1,14,11046,5942,0,11167,6282,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,4,0,0,3,0,0,0,0,0,true,1,0,0,0,0,1,0,0,0,0,0,0,
1617velv-cala-dm2-Q-15,1,1,15,4348,9894,0,10298,8894,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,2,4,0,0,0,0,0,0,2,false,0,0,1,0,2,5,0,0,0,0,0,0,
1617velv-cala-dm2-Q-16,1,1,16,6282,11683,0,11167,9247,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,4,0,0,1,0,0,0,0,0,false,1,0,0,0,0,0,0,0,0,0,0,0,
1617velv-cala-dm2-Q-17,1,1,17,5942,25,0,8415,8496,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,2,0,0,0,3,2,0,3,0,0,0,0,1,true,2,0,1,0,1,5,0,0,0,0,0,0,
1617velv-cala-dm2-Q-18,1,1,18,5218,8894,0,11046,6282,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,0,0,1,0,4,1,0,0,0,0,0,0,0,true,0,0,1,0,0,0,0,2,0,0,0,0,
