TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-cala-f1f2f3ilt-Q-1,1,1,1,7645,9220,0,12109,10217,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,1,0,0,0,0,0,0,0,false,1,0,0,3,4,1,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-2,1,1,2,7460,7833,0,6179,6371,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,1,2,0,1,0,0,0,0,0,false,0,0,0,0,3,7,0,3,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-3,1,1,3,5755,11971,0,5827,9433,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,3,0,0,0,0,0,0,0,0,true,2,0,0,0,1,5,0,3,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-4,1,1,4,6374,3600,0,7834,9431,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-5,1,1,5,6372,12386,0,6373,7835,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,2,0,0,0,0,0,0,0,false,1,0,0,3,3,8,1,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-6,1,1,6,7195,12054,0,8635,7831,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,1,3,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-7,1,1,7,9432,9220,0,6370,7832,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,3,2,0,6,0,0,0,0,0,0,false,0,0,0,0,2,2,0,1,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-8,1,1,8,7834,6373,0,6179,11971,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,3,0,2,0,3,0,0,0,0,0,1,false,0,0,0,0,2,0,0,3,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-9,1,1,9,7835,12109,0,12054,6374,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,3,0,2,3,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-10,1,1,10,9432,5827,0,6372,7460,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,2,0,0,0,0,0,0,true,0,0,0,3,2,2,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-11,1,1,11,10217,9431,0,6370,5755,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,2,0,0,0,0,0,0,0,0,true,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-12,1,1,12,9433,8635,0,7833,3600,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,3,2,0,1,0,0,0,0,0,true,0,0,1,0,1,0,0,1,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-13,1,1,13,7831,7832,0,12386,7645,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,7,0,3,0,0,1,0,0,false,0,0,0,0,2,0,0,0,1,0,0,0,
1617velv-cala-f1f2f3ilt-Q-14,1,1,14,6371,7834,0,7195,10217,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,0,0,0,0,0,4,0,1,0,0,2,1,0,true,0,0,0,3,4,0,0,0,2,1,0,0,
1617velv-cala-f1f2f3ilt-Q-15,1,1,15,5755,7460,0,6373,9220,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,1,0,0,1,0,true,0,0,0,0,0,0,0,1,0,0,0,0,0,true,0,0,0,0,4,0,4,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-16,1,1,16,6372,7831,0,9433,6374,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,3,0,1,3,0,0,0,0,0,0,0,true,1,0,0,0,3,1,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-17,1,1,17,7835,6179,0,7832,8635,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,3,3,9,0,3,0,0,0,0,0,true,0,0,0,0,1,5,0,3,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-18,1,1,18,9431,11971,0,9432,7195,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,1,0,0,0,0,0,0,0,0,true,0,2,0,0,3,0,0,1,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-19,1,1,19,12054,7833,0,12386,5827,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,0,0,0,0,0,0,0,0,false,0,0,0,0,0,1,0,3,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-20,1,1,20,6370,6371,0,7645,3600,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,0,0,0,0,0,2,0,0,0,0,0,0,0,false,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-21,1,1,21,12109,9431,0,6179,6372,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,3,2,0,0,0,0,0,0,1,true,1,0,1,1,1,1,0,3,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-22,1,1,22,10217,6373,0,9433,12054,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,0,3,1,0,0,0,0,0,true,1,0,0,0,4,1,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-23,1,1,23,7195,7645,0,7835,5755,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,0,0,0,0,1,0,0,0,true,2,0,0,3,0,8,0,0,0,0,0,1,
1617velv-cala-f1f2f3ilt-Q-24,1,1,24,5827,9220,0,7831,3600,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,3,1,0,3,0,0,0,0,0,false,1,0,0,0,1,2,0,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-25,1,1,25,12109,7832,0,7834,7833,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,1,6,0,3,0,0,0,0,0,true,0,0,0,1,3,0,2,0,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-26,1,1,26,6370,11971,0,7460,12386,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,0,4,0,0,0,0,0,0,true,0,0,0,0,0,2,0,2,0,0,0,0,
1617velv-cala-f1f2f3ilt-Q-27,1,1,27,6374,8635,0,9432,6371,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,0,0,1,0,1,0,0,0,true,2,1,3,0,0,3,0,1,0,0,0,1,
1617velv-cala-f1f2f3ilt-Q-28,1,1,28,12054,6372,0,7832,5755,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,3,0,0,0,0,0,0,0,0,true,0,0,0,1,1,2,0,3,0,0,0,0,
