TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-cala-f1m0-Q-1,1,1,1,9433,6370,0,7835,6371,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,1,0,0,0,0,0,0,
1617velv-cala-f1m0-Q-2,1,1,2,6373,6374,0,10217,5755,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-cala-f1m0-Q-3,1,1,3,6373,6371,0,7460,10217,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,0,3,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-cala-f1m0-Q-4,1,1,4,7835,6370,0,6374,7460,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-cala-f1m0-Q-5,1,1,5,5755,7460,0,9433,6374,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,0,0,0,true,0,0,3,0,0,4,0,0,0,0,0,0,
1617velv-cala-f1m0-Q-6,1,1,6,6373,5755,0,6371,9433,0,0,0,0,false,false,false,0,0,0,false,false,false,1,1,0,1,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,0,0,0,true,2,0,0,3,0,5,0,0,0,0,0,0,
1617velv-cala-f1m0-Q-7,1,1,7,10217,7835,0,6370,5755,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-cala-f1m0-Q-8,1,1,8,6371,10217,0,7835,7460,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,1,3,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-cala-f1m0-Q-9,1,1,9,6374,6370,0,9433,6373,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,2,0,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,2,2,0,0,0,0,0,0,
1617velv-cala-f1m0-Q-10,1,1,10,6374,5755,0,6371,6370,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,0,0,0,1,0,0,0,0,false,0,0,0,0,0,1,0,0,0,0,1,0,
1617velv-cala-f1m0-Q-11,1,1,11,9433,7835,0,6373,10217,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,1,5,0,0,0,0,22,1,0,false,0,0,0,0,0,0,0,0,22,1,0,0,
1617velv-cala-f1m0-Q-12,1,1,12,7460,6371,0,6373,5755,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,1,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,4,0,0,0,0,0,0,0,
