TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-cala-f1m2-Q-1,Q-1,35-22 R,9433,9220,0,6373,6370,0,35,5,0,30,0,0,22,0,0,22,0,0,false,false,false,false,
1617velv-cala-f1m2-Q-2,Q-2,55-35 R,5755,7835,0,8635,6374,0,55,20,0,35,0,0,35,5,0,30,0,0,false,false,false,false,
1617velv-cala-f1m2-Q-3,Q-3,36-40 B,6371,6370,0,10217,5755,0,36,0,0,36,0,0,40,10,0,20,10,0,false,false,false,false,
1617velv-cala-f1m2-Q-4,Q-4,45-30 R,6374,6371,0,10217,6373,0,45,10,0,25,10,0,30,0,0,30,0,0,false,false,false,false,
1617velv-cala-f1m2-Q-5,Q-5,110-65 R,9433,8635,0,9220,7835,0,110,25,0,45,0,40,65,5,0,60,0,0,false,false,false,false,
1617velv-cala-f1m2-Q-6,Q-6,50-80 B,9433,5755,0,10217,9220,0,50,25,0,15,10,0,80,0,0,30,10,40,true,false,true,false,
1617velv-cala-f1m2-Q-7,Q-7,20-32 B,6374,6373,0,6370,8635,0,20,0,0,20,0,0,32,10,0,22,0,0,false,false,false,false,
1617velv-cala-f1m2-Q-8,Q-8,105-45 R,7835,6374,0,6371,9220,0,105,35,0,70,0,0,45,5,0,30,10,0,false,false,false,false,
1617velv-cala-f1m2-Q-9,Q-9,60-25 R,10217,7835,0,6373,5755,0,60,0,0,60,0,0,25,5,0,20,0,0,false,false,false,false,
1617velv-cala-f1m2-Q-10,Q-10,75-40 R,6371,8635,0,9433,6370,0,75,25,0,40,10,0,40,20,0,20,0,0,false,false,false,false,
1617velv-cala-f1m2-Q-11,Q-11,40-25 R,8635,9220,0,10217,6371,0,40,10,0,30,0,0,25,0,0,25,0,0,false,false,false,false,
1617velv-cala-f1m2-Q-12,Q-12,30-50 B,9433,6373,0,5755,6374,0,30,5,0,15,10,0,50,10,0,30,10,0,false,false,false,false,
1617velv-cala-f1m2-Q-13,Q-13,22-95 B,6370,10217,0,7835,9433,0,22,10,0,12,0,0,95,25,0,70,0,0,false,false,false,false,
