TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-cala-im3,4216,Rise of Hephaestus,1,10,265,205,5,,1.00,138.7,121.2,138.7,121.2,66.5,57.7,0.0,0.0,38.5,34.0,33.8,29.5,0.0,0.0,0.0,0.0,
1617velv-cala-im3,9836,ElectroMedics Gold,2,10,140,205,5,,1.00,72.3,66.6,72.3,66.6,37.2,33.6,0.0,0.0,17.0,16.7,18.1,16.2,0.0,0.0,0.0,0.0,
1617velv-cala-im3,7328,I. C. E.,3,8,210,125,5,,0.80,35.1,36.4,35.1,36.4,8.8,10.4,0.0,0.0,25.4,23.9,0.9,2.0,0.0,0.0,0.0,0.0,
1617velv-cala-im3,9074,Robo-Scorpions,4,6,165,115,5,,0.60,35.2,33.2,35.2,33.2,16.3,15.4,0.0,0.0,19.2,17.9,-0.2,-0.2,0.0,0.0,0.0,0.0,
1617velv-cala-im3,7372,Norbots,5,4,230,145,5,,0.40,15.8,19.6,15.8,19.6,2.1,5.3,0.0,0.0,12.4,12.4,1.3,1.9,0.0,0.0,0.0,0.0,
1617velv-cala-im3,5380,ElectroMedics Red,6,4,210,85,5,,0.40,42.2,37.7,42.2,37.7,23.1,20.0,0.0,0.0,14.4,13.7,4.7,4.0,0.0,0.0,0.0,0.0,
1617velv-cala-im3,8396,Secret Team,7,4,190,185,5,,0.40,19.4,24.2,19.4,24.2,3.0,6.1,0.0,0.0,6.6,8.4,9.8,9.6,0.0,0.0,0.0,0.0,
1617velv-cala-im3,9098,Patronus,8,4,190,145,5,,0.40,18.3,22.0,18.3,22.0,17.4,17.1,0.0,0.0,0.4,3.1,0.6,1.7,0.0,0.0,0.0,0.0,
1617velv-cala-im3,4344,Rickrollers,9,4,185,160,5,,0.40,22.4,26.2,22.4,26.2,12.4,13.5,0.0,0.0,9.5,10.9,0.4,1.7,0.0,0.0,0.0,0.0,
1617velv-cala-im3,9777,Reauxbatons,10,4,175,70,5,,0.40,14.6,17.8,14.6,17.8,3.6,4.9,0.0,0.0,10.5,11.5,0.5,1.3,0.0,0.0,0.0,0.0,
1617velv-cala-im3,5011,Bot Squad,11,4,155,60,5,,0.40,15.1,16.5,15.1,16.5,-4.4,-1.5,0.0,0.0,17.0,16.0,2.5,2.0,0.0,0.0,0.0,0.0,
1617velv-cala-im3,7227,Scorpion Robotics,12,4,145,115,5,,0.40,36.0,35.7,36.0,35.7,31.7,28.4,0.0,0.0,6.2,7.8,-1.8,-0.6,0.0,0.0,0.0,0.0,
1617velv-cala-im3,8714,Alloymantulas,13,4,140,145,5,,0.40,4.4,13.0,4.4,13.0,-10.9,-4.2,0.0,0.0,8.2,9.6,7.1,7.5,0.0,0.0,0.0,0.0,
1617velv-cala-im3,11842,Cyber War Machines,14,0,150,40,5,,0.00,6.6,9.6,6.6,9.6,0.5,1.9,0.0,0.0,8.5,8.9,-2.4,-1.2,0.0,0.0,0.0,0.0,
