TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-calaa1m1-Q-1,Q-1,70-10 R,4512,11770,0,7758,7296,0,70,15,0,55,0,0,10,0,0,10,0,0,
1617velv-calaa1m1-Q-2,Q-2,41-40 R,10446,5390,0,11546,9887,0,41,10,0,21,10,0,40,0,0,20,20,0,
1617velv-calaa1m1-Q-3,Q-3,80-55 R,9324,3526,0,542,7296,0,80,40,0,40,0,0,55,5,0,0,10,40,
1617velv-calaa1m1-Q-4,Q-4,30-50 B,542,9887,0,11546,11770,0,30,30,0,0,0,0,50,0,0,40,10,0,
1617velv-calaa1m1-Q-5,Q-5,60-35 R,7758,9324,0,10446,3526,0,60,25,0,35,0,0,35,35,0,0,0,0,
1617velv-calaa1m1-Q-6,Q-6,70-21 R,4512,11546,0,5390,9324,0,70,30,0,40,0,0,21,0,0,11,10,0,
1617velv-calaa1m1-Q-7,Q-7,65-45 R,7758,5390,0,10446,542,0,65,10,0,45,10,0,45,5,0,0,0,40,
1617velv-calaa1m1-Q-8,Q-8,35-85 B,4512,9887,0,3526,11770,0,35,20,0,5,0,10,85,15,0,40,20,10,
1617velv-calaa1m1-Q-9,Q-9,25-70 B,11546,542,0,7296,4512,0,25,5,0,10,0,10,70,35,0,35,0,0,
1617velv-calaa1m1-Q-10,Q-10,40-60 B,9324,7296,0,9887,7758,0,40,25,0,15,0,0,60,30,0,30,0,0,
1617velv-calaa1m1-Q-11,Q-11,31-31 T,10446,11770,0,3526,5390,0,31,0,0,31,0,0,31,0,0,11,20,0,
1617velv-calaa1m1-Q-12,Q-12,20-25 B,7296,11770,0,9324,10446,0,20,0,0,10,10,0,25,5,0,20,0,0,
1617velv-calaa1m1-Q-13,Q-13,20-66 B,3526,7758,0,5390,11546,0,20,0,0,20,0,0,66,5,0,21,0,40,
1617velv-calaa1m1-Q-14,Q-14,30-60 B,9887,10446,0,542,4512,0,30,30,0,0,0,0,60,30,0,30,0,0,
