TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-calabm3,11335,Delta Tech,1,10,213,130,5,,
1617velv-calabm3,11337,Robonauts,2,8,148,95,5,,
1617velv-calabm3,11386,Nitron 10,3,6,203,70,5,,
1617velv-calabm3,11332,LASERS,4,6,180,95,5,,
1617velv-calabm3,11385,Thee Wood Warriors,5,6,160,70,5,,
1617velv-calabm3,11334,Alpha Tech,6,4,215,130,5,,
1617velv-calabm3,11336,Hub Squad,7,4,143,63,5,,
1617velv-calabm3,11333,Samurai,8,2,140,65,5,,
1617velv-calabm3,11379,PowerOp,9,2,110,50,5,,
1617velv-calabm3,11380,Golden Path,10,2,100,100,5,,
