TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-calac2m3,4628,Suit Bots,1,10,247,150,5,,1.00,81.1,74.1,84.7,76.5,61.8,53.0,0.0,0.0,17.7,18.7,4.1,4.0,-2.5,-1.7,-1.1,-0.8,
1617velv-calac2m3,11945,Element 118,2,10,240,110,5,,1.00,33.1,35.1,27.1,29.8,10.8,12.0,0.0,0.0,12.1,13.6,2.6,3.1,7.6,6.3,-1.6,-1.0,
1617velv-calac2m3,5498,Cougarobotics Omega,3,9,263,150,5,,0.90,63.3,58.1,54.4,51.1,23.7,23.0,0.0,0.0,30.9,28.2,0.9,0.4,7.9,6.4,1.0,0.6,
1617velv-calac2m3,4947,Cougarobotics Alpha,4,8,142,130,5,,0.80,42.9,41.8,45.4,43.4,20.1,19.7,0.0,0.0,28.4,25.7,-4.4,-2.9,-1.3,-0.9,-1.3,-0.9,
1617velv-calac2m3,4625,Kings and Queens,5,6,217,110,5,,0.60,52.8,50.0,46.9,45.0,9.0,10.2,0.0,0.0,22.0,21.1,22.5,19.3,-0.8,-0.6,6.6,5.5,
1617velv-calac2m3,7553,Team Loki,6,6,175,111,5,,0.60,37.1,35.9,40.0,37.7,13.7,12.5,0.0,0.0,30.6,27.8,-5.7,-3.6,-1.5,-1.0,-1.4,-1.0,
1617velv-calac2m3,11825,Graveyard Shift,7,6,173,150,5,,0.60,36.6,34.4,36.9,34.7,12.5,12.8,0.0,0.0,27.1,23.4,-1.9,-1.2,-1.0,-0.7,0.7,0.4,
1617velv-calac2m3,8624,Blu,8,4,177,85,5,,0.40,20.2,21.7,12.2,15.0,4.5,4.9,0.0,0.0,13.2,13.7,2.4,2.9,0.1,0.1,7.9,6.4,
1617velv-calac2m3,9512,Hippie Bots,9,4,120,61,5,,0.40,11.0,13.2,9.9,12.5,5.3,5.9,0.0,0.0,3.0,5.3,1.6,1.4,1.1,0.6,0.0,0.1,
1617velv-calac2m3,6570,Piradians,10,4,117,85,5,,0.40,17.1,19.5,17.4,19.7,-2.1,-0.3,0.0,0.0,9.5,11.0,9.3,8.4,0.4,0.3,-0.7,-0.6,
1617velv-calac2m3,9513,SWAT Team,11,3,225,65,5,,0.30,29.7,28.4,32.1,30.0,7.3,7.2,0.0,0.0,19.8,17.9,2.3,3.1,0.3,0.2,-2.7,-1.9,
1617velv-calac2m3,9040,Steampunks,12,2,127,72,5,,0.20,13.0,14.6,13.7,15.1,4.1,4.8,0.0,0.0,9.1,9.2,1.4,1.5,-1.6,-1.1,0.9,0.5,
1617velv-calac2m3,10299,Infinite Loop,13,1,175,70,5,,0.10,13.9,15.8,14.3,16.0,6.9,7.0,0.0,0.0,1.5,4.0,5.2,4.4,0.3,0.2,-0.7,-0.5,
1617velv-calac2m3,4153,Droidnoughts,14,1,152,60,5,,0.10,2.4,7.3,3.7,8.1,5.4,5.8,0.0,0.0,-0.2,3.0,-1.0,-0.4,-1.8,-1.1,0.5,0.3,
1617velv-calac2m3,10674,Knights Of The Roundish Table,15,0,108,27,5,,0.00,-0.4,3.8,0.2,4.3,-5.6,-2.9,0.0,0.0,2.2,4.4,2.2,1.8,0.8,0.4,-1.4,-0.9,
