TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-caladm2-Q-1,Q-1,80-70 R,11683,8894,0,5942,5218,0,80,40,0,40,0,0,70,30,0,20,20,0,
1617velv-caladm2-Q-2,Q-2,30-90 B,9247,9894,0,11046,25,0,30,0,0,30,0,0,90,55,0,35,0,0,
1617velv-caladm2-Q-3,Q-3,115-55 R,8496,6282,0,4348,10298,0,115,70,0,35,10,0,55,0,0,55,0,0,
1617velv-caladm2-Q-4,Q-4,105-50 R,11167,8894,0,8415,9247,0,105,75,0,30,0,0,50,40,0,10,0,0,
1617velv-caladm2-Q-5,Q-5,65-90 B,9894,25,0,5942,6282,0,65,35,0,30,0,0,90,30,0,20,40,0,
1617velv-caladm2-Q-6,Q-6,120-40 R,8415,10298,0,11046,11683,0,120,95,0,25,0,0,40,10,0,30,0,0,
1617velv-caladm2-Q-7,Q-7,125-115 R,8496,4348,0,11167,5218,0,125,80,0,45,0,0,115,80,0,35,0,0,
1617velv-caladm2-Q-8,Q-8,55-30 R,8894,8415,0,6282,9894,0,55,0,0,55,0,0,30,10,0,0,20,0,
1617velv-caladm2-Q-9,Q-9,80-115 B,9247,5218,0,10298,5942,0,80,10,0,30,40,0,115,70,0,45,0,0,
1617velv-caladm2-Q-10,Q-10,80-35 R,11046,4348,0,11683,8496,0,80,25,0,45,10,0,35,35,0,0,0,0,
1617velv-caladm2-Q-11,Q-11,125-80 R,11167,10298,0,25,8894,0,125,85,0,40,0,0,80,45,0,35,0,0,
1617velv-caladm2-Q-12,Q-12,100-100 T,11683,9247,0,9894,8496,0,100,60,0,0,40,0,100,40,0,60,0,0,
1617velv-caladm2-Q-13,Q-13,95-75 R,8415,25,0,4348,5218,0,95,55,0,40,0,0,75,45,0,30,0,0,
1617velv-caladm2-Q-14,Q-14,90-25 R,11046,5942,0,11167,6282,0,90,10,0,40,40,0,25,20,0,5,0,0,
1617velv-caladm2-Q-15,Q-15,50-110 B,4348,9894,0,10298,8894,0,50,10,0,40,0,0,110,65,0,45,0,0,
1617velv-caladm2-Q-16,Q-16,60-15 R,6282,11683,0,11167,9247,0,60,10,0,40,10,0,15,15,0,0,0,0,
1617velv-caladm2-Q-17,Q-17,145-105 R,5942,25,0,8415,8496,0,145,65,0,40,40,0,105,70,0,35,0,0,
1617velv-caladm2-Q-18,Q-18,115-30 R,5218,8894,0,11046,6282,0,115,70,0,45,0,0,30,10,0,0,20,0,
