TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-calaem1,6325,Aluminati,1,8,115,190,5,,
1617velv-calaem1,358,The Gaulbots,2,8,100,125,5,,
1617velv-calaem1,359,WEBB.exe,3,6,230,190,5,,
1617velv-calaem1,6436,AlphaGenesis,4,6,180,75,5,,
1617velv-calaem1,9873,PikaTech,5,6,150,95,5,,
1617velv-calaem1,10673,Spudbot,6,6,130,90,5,,
1617velv-calaem1,10598,Fusionyx,7,4,95,65,5,,
1617velv-calaem1,9254,STEM Punks,8,4,80,50,5,,
1617velv-calaem1,10006,Spudnik,9,2,90,70,5,,
1617velv-calaem1,7767,Upper Echelon,10,0,100,60,5,,
