TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-calaf1m1,6371,Machine Kings,1,10,155,125,5,,
1617velv-calaf1m1,9433,Twisted Metal,2,10,120,75,5,,
1617velv-calaf1m1,10217,PUMA Robotics,3,6,135,125,5,,
1617velv-calaf1m1,6373,SuperBots,4,6,105,55,5,,
1617velv-calaf1m1,8635,RV Robo Squad,5,4,150,75,5,,
1617velv-calaf1m1,7835,Victrix Aedifex,6,4,130,65,5,,
1617velv-calaf1m1,5755,Tri-Force-Droids,7,4,120,50,5,,
1617velv-calaf1m1,6374,EvilBots,8,4,85,105,5,,
1617velv-calaf1m1,7460,Thunder,9,4,75,55,5,,
1617velv-calaf1m1,9220,Rancho Rebel Robotics,10,4,50,55,5,,
1617velv-calaf1m1,6370,Nemesis,11,0,115,50,5,,
