TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-calaim2,9836,ElectroMedics Gold,1,10,180,115,5,,
1617velv-calaim2,5380,ElectroMedics Red,2,10,140,160,5,,
1617velv-calaim2,7227,Scorpion Robotics,3,8,185,105,5,,
1617velv-calaim2,11842,Cyber War Machines,4,7,150,150,5,,
1617velv-calaim2,8714,Alloymantulas,5,6,155,105,5,,
1617velv-calaim2,5011,Bot Squad,6,5,165,70,5,,
1617velv-calaim2,9098,Patronus,7,4,155,115,5,,
1617velv-calaim2,9074,Robo-Scorpions,8,4,130,115,5,,
1617velv-calaim2,7328,I. C. E.,9,3,165,50,5,,
1617velv-calaim2,7372,Norbots,10,3,130,105,5,,
1617velv-calaim2,4344,Rickrollers,11,2,190,125,5,,
1617velv-calaim2,8396,Secret Team,12,2,180,55,5,,
1617velv-calaim2,9777,Reauxbatons,13,0,165,45,5,,
