TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-canc-bu1-Q-1,Q-1,20-20 T,5211,9784,0,11689,11201,0,20,0,0,20,0,0,20,0,0,20,0,0,
1617velv-canc-bu1-Q-2,Q-2,170-30 R,7591,10794,0,4157,11387,0,170,100,0,70,0,0,30,0,0,30,0,0,
1617velv-canc-bu1-Q-3,Q-3,85-36 R,10189,548,0,11575,9965,0,85,55,0,30,0,0,36,5,0,21,10,0,
1617velv-canc-bu1-Q-4,Q-4,5-70 B,11643,11039,0,8865,5773,0,5,0,0,5,0,0,70,0,0,60,10,0,
1617velv-canc-bu1-Q-5,Q-5,5-76 B,8367,7593,0,9783,5206,0,5,5,0,0,0,0,76,30,0,46,0,0,
1617velv-canc-bu1-Q-6,Q-6,40-105 B,4157,8865,0,11689,548,0,40,15,0,25,0,0,105,70,0,35,0,0,
1617velv-canc-bu1-Q-7,Q-7,15-51 B,8367,11387,0,11039,11575,0,15,0,0,15,0,0,51,5,0,46,0,0,
1617velv-canc-bu1-Q-8,Q-8,10-235 B,5773,9783,0,7591,11201,0,10,0,0,10,0,0,235,130,0,85,20,0,
1617velv-canc-bu1-Q-9,Q-9,10-80 B,11643,5206,0,9965,5211,0,10,0,0,0,10,0,80,60,0,20,0,0,
1617velv-canc-bu1-Q-10,Q-10,70-80 B,10189,10794,0,7593,9784,0,70,20,0,50,0,0,80,50,0,20,10,0,
1617velv-canc-bu1-Q-11,Q-11,110-60 R,9965,11201,0,8865,8367,0,110,30,0,40,40,0,60,30,0,30,0,0,
1617velv-canc-bu1-Q-12,Q-12,10-40 B,7593,5773,0,11689,5211,0,10,5,0,5,0,0,40,10,0,30,0,0,
1617velv-canc-bu1-Q-13,Q-13,35-85 B,548,11643,0,11387,9784,0,35,15,0,20,0,0,85,20,0,25,0,40,
1617velv-canc-bu1-Q-14,Q-14,50-20 R,10794,11039,0,9783,10189,0,50,20,0,30,0,0,20,0,0,20,0,0,
1617velv-canc-bu1-Q-15,Q-15,20-80 B,5206,11575,0,7591,4157,0,20,0,0,20,0,0,80,60,0,20,0,0,
1617velv-canc-bu1-Q-16,Q-16,5-120 B,5211,8367,0,10794,548,0,5,5,0,0,0,0,120,45,0,75,0,0,
1617velv-canc-bu1-Q-17,Q-17,45-70 B,9783,8865,0,11575,9784,0,45,15,0,30,0,0,70,35,0,35,0,0,
1617velv-canc-bu1-Q-18,Q-18,135-150 B,11689,7591,0,9965,11039,0,135,100,0,35,0,0,150,60,0,50,40,0,
1617velv-canc-bu1-Q-19,Q-19,50-0 R,11387,10189,0,5206,5773,0,50,10,0,40,0,0,0,0,0,0,0,0,
1617velv-canc-bu1-Q-20,Q-20,40-45 B,4157,7593,0,11643,11201,0,40,0,0,0,0,40,45,5,0,40,0,0,
1617velv-canc-bu1-Q-21,Q-21,90-75 R,8865,5211,0,10189,7591,0,90,5,0,25,0,60,75,0,0,55,20,0,
1617velv-canc-bu1-Q-22,Q-22,25-60 B,11039,11201,0,548,5206,0,25,5,0,20,0,0,60,30,0,30,0,0,
1617velv-canc-bu1-Q-23,Q-23,20-5 R,9784,5773,0,8367,4157,0,20,20,0,0,0,0,5,5,0,0,0,0,
1617velv-canc-bu1-Q-24,Q-24,35-45 B,11689,11575,0,10794,11643,0,35,5,0,30,0,0,45,10,0,35,0,0,
1617velv-canc-bu1-Q-25,Q-25,0-80 B,11387,9965,0,9783,7593,0,0,0,0,0,0,0,80,35,0,45,0,0,
1617velv-canc-bu1-SF-1-1,SF-1-1,65-40 R,9784,7591,0,11201,7593,0,65,10,0,45,10,0,40,20,0,20,0,0,
1617velv-canc-bu1-SF-1-2,SF-1-2,115-65 R,9784,7591,0,11201,7593,0,115,85,0,30,0,0,65,35,0,30,0,0,
1617velv-canc-bu1-SF-2-1,SF-2-1,65-105 B,10794,9965,0,548,8865,0,65,35,0,10,20,0,105,30,0,65,10,0,
1617velv-canc-bu1-SF-2-2,SF-2-2,145-230 B,10794,9965,0,548,8865,0,145,125,0,20,0,0,230,75,0,85,0,70,
1617velv-canc-bu1-F-1,F-1,130-70 R,9784,7591,0,548,8865,0,130,85,0,45,0,0,70,35,0,35,0,0,
1617velv-canc-bu1-F-2,F-2,95-115 B,9784,7591,0,548,8865,0,95,0,0,55,40,0,115,35,0,40,0,40,
1617velv-canc-bu1-F-3,F-3,120-190 B,9784,7591,0,548,8865,0,120,100,0,20,0,0,190,105,0,85,0,0,
