TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-canc-bu1-Q-1,1,1,1,5211,9784,0,11689,11201,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-canc-bu1-Q-2,1,1,2,7591,10794,0,4157,11387,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,1,0,1,12,0,0,0,0,0,0,0,FALSE,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-canc-bu1-Q-3,1,1,3,10189,548,0,11575,9965,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,1,0,2,2,0,0,0,0,0,0,0,TRUE,0,0,0,0,2,0,1,1,0,0,0,0,
1617velv-canc-bu1-Q-4,1,1,4,11643,11039,0,8865,5773,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,3,6,0,1,0,0,0,0,
1617velv-canc-bu1-Q-5,1,1,5,8367,7593,0,9783,5206,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,2,5,1,0,0,0,0,0,
1617velv-canc-bu1-Q-6,1,1,6,4157,8865,0,11689,548,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,2,1,0,0,0,0,0,0,1,TRUE,2,0,1,0,2,3,0,0,0,0,0,0,
1617velv-canc-bu1-Q-7,1,1,7,8367,11387,0,11039,11575,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,0,0,0,0,3,3,1,0,0,0,0,0,
1617velv-canc-bu1-Q-8,1,1,8,5773,9783,0,7591,11201,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,3,TRUE,2,0,1,0,3,11,0,2,0,0,0,0,
1617velv-canc-bu1-Q-9,1,1,9,11643,5206,0,9965,5211,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,2,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-canc-bu1-Q-10,1,1,10,10189,10794,0,7593,9784,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,4,2,0,0,0,0,0,0,0,TRUE,3,0,0,0,0,4,0,1,0,0,0,0,
1617velv-canc-bu1-Q-11,1,1,11,9965,11201,0,8865,8367,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,0,0,0,0,4,0,0,3,0,0,0,0,0,FALSE,2,0,0,0,0,6,0,0,0,0,0,0,
1617velv-canc-bu1-Q-12,1,1,12,7593,5773,0,11689,5211,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,0,1,0,3,0,0,0,0,0,0,0,
1617velv-canc-bu1-Q-13,1,1,13,548,11643,0,11387,9784,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,2,0,0,0,0,1,0,0,0,TRUE,1,0,0,0,2,1,0,0,0,0,0,1,
1617velv-canc-bu1-Q-14,1,1,14,10794,11039,0,9783,10189,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,2,2,0,0,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-canc-bu1-Q-15,1,1,15,5206,11575,0,7591,4157,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-canc-bu1-Q-16,1,1,16,5211,8367,0,10794,548,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,0,0,0,4,7,0,0,0,0,0,0,
1617velv-canc-bu1-Q-17,1,1,17,9783,8865,0,11575,9784,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,2,2,0,0,0,0,0,0,0,TRUE,2,0,0,0,2,3,0,0,0,0,0,0,
1617velv-canc-bu1-Q-18,1,1,18,11689,7591,0,9965,11039,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,1,0,0,7,0,0,0,0,0,0,2,FALSE,0,0,0,0,4,2,0,3,0,0,0,0,
1617velv-canc-bu1-Q-19,1,1,19,11387,10189,0,5206,5773,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,4,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-canc-bu1-Q-20,1,1,20,4157,7593,0,11643,11201,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,0,0,1,0,4,0,0,0,0,1,0,0,
1617velv-canc-bu1-Q-21,1,1,21,8865,5211,0,10189,7591,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,1,0,2,1,0,0,0,0,2,1,0,FALSE,0,0,0,0,2,7,0,2,2,1,0,0,
1617velv-canc-bu1-Q-22,1,1,22,11039,11201,0,548,5206,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,3,0,2,0,0,0,0,0,0,0,0,FALSE,2,0,0,0,2,2,0,0,0,0,0,0,
1617velv-canc-bu1-Q-23,1,1,23,9784,5773,0,8367,4157,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-canc-bu1-Q-24,1,1,24,11689,11575,0,10794,11643,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,3,0,0,0,0,0,0,0,0,TRUE,0,0,1,0,1,5,0,0,0,0,0,0,
1617velv-canc-bu1-Q-25,1,1,25,11387,9965,0,9783,7593,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2,0,0,0,4,1,0,0,0,0,0,0,
1617velv-canc-bu1-SF-1-1,1,3,11,9784,7591,0,11201,7593,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,2,5,0,1,0,0,0,0,0,TRUE,1,0,0,0,2,0,0,0,0,0,0,0,
1617velv-canc-bu1-SF-1-2,1,3,12,9784,7591,0,11201,7593,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,1,0,1,0,3,0,0,0,0,0,0,0,0,TRUE,2,0,0,0,1,4,0,0,0,0,0,0,
1617velv-canc-bu1-SF-2-1,1,3,21,10794,9965,0,548,8865,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,0,0,2,0,2,0,0,0,0,0,FALSE,2,0,0,0,3,7,0,1,0,0,0,0,
1617velv-canc-bu1-SF-2-2,1,3,22,10794,9965,0,548,8865,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,3,TRUE,2,0,0,0,0,4,0,0,3,1,0,0,1,TRUE,2,0,1,3,4,9,0,0,0,0,3,1,
1617velv-canc-bu1-F-1,1,4,1,9784,7591,0,548,8865,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,1,0,1,0,1,7,0,0,0,0,0,0,0,FALSE,2,0,3,0,2,3,0,0,0,0,0,0,
1617velv-canc-bu1-F-2,1,4,2,9784,7591,0,548,8865,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,5,0,3,0,1,0,0,0,FALSE,2,0,3,0,1,6,0,0,0,0,0,1,
1617velv-canc-bu1-F-3,1,4,3,9784,7591,0,548,8865,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,1,0,1,2,0,0,0,0,0,0,2,TRUE,2,0,1,3,3,11,0,0,0,0,0,0,
