TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-canc-cmpd1-Q-1,Q-1,130-10 R,10434,9614,0,3791,11898,0,130,55,0,35,40,0,10,0,0,10,0,0,false,false,false,false,
1617velv-canc-cmpd1-Q-2,Q-2,110-130 B,4943,10917,0,8381,5206,0,110,65,0,45,0,0,130,90,0,40,0,0,false,false,false,false,
1617velv-canc-cmpd1-Q-3,Q-3,0-205 B,8404,9965,0,8367,6436,0,0,0,0,0,0,0,205,145,0,60,0,0,false,false,false,false,
1617velv-canc-cmpd1-Q-4,Q-4,165-75 R,7464,5220,0,11039,10023,0,165,90,0,35,40,0,75,30,0,45,0,0,false,false,false,false,
1617velv-canc-cmpd1-Q-5,Q-5,170-55 R,8625,548,0,7854,8375,0,170,90,0,60,20,0,55,25,0,10,20,0,false,false,false,false,
1617velv-canc-cmpd1-Q-6,Q-6,20-30 B,9578,9144,0,524,9924,0,20,10,0,10,0,0,30,0,0,30,0,0,false,false,false,false,
1617velv-canc-cmpd1-Q-7,Q-7,130-165 B,8367,4943,0,5220,3791,0,130,85,0,45,0,0,165,45,0,80,40,0,false,false,false,false,
1617velv-canc-cmpd1-Q-8,Q-8,130-80 R,9965,7854,0,10917,7464,0,130,65,0,45,20,0,80,20,0,10,40,10,false,false,false,false,
1617velv-canc-cmpd1-Q-9,Q-9,120-175 B,6436,524,0,11039,10434,0,120,65,0,15,40,0,175,100,0,75,0,0,false,false,false,false,
1617velv-canc-cmpd1-Q-10,Q-10,65-145 B,10023,9924,0,548,8404,0,65,30,0,35,0,0,145,30,0,25,40,50,false,false,false,false,
1617velv-canc-cmpd1-Q-11,Q-11,90-130 B,8625,9614,0,9578,8381,0,90,15,0,35,40,0,130,75,0,45,0,10,false,false,false,false,
1617velv-canc-cmpd1-Q-12,Q-12,30-80 B,11898,8375,0,5206,9144,0,30,10,0,20,0,0,80,60,0,20,0,0,false,false,false,false,
1617velv-canc-cmpd1-Q-13,Q-13,100-50 R,10434,7464,0,4943,8404,0,100,5,0,45,40,10,50,30,0,10,0,10,false,false,false,false,
1617velv-canc-cmpd1-Q-14,Q-14,190-80 R,11039,8381,0,8367,7854,0,190,85,0,65,0,40,80,60,0,20,0,0,false,false,false,false,
1617velv-canc-cmpd1-Q-15,Q-15,65-80 B,3791,5206,0,8625,9924,0,65,35,0,30,0,0,80,35,0,45,0,0,false,false,false,false,
1617velv-canc-cmpd1-Q-16,Q-16,50-100 B,548,11898,0,524,10917,0,50,15,0,15,20,0,100,10,0,50,40,0,false,false,false,false,
1617velv-canc-cmpd1-Q-17,Q-17,85-270 B,9144,9614,0,10023,6436,0,85,85,0,0,0,0,270,120,0,40,0,110,false,false,false,false,
1617velv-canc-cmpd1-Q-18,Q-18,20-285 B,8375,9578,0,9965,5220,0,20,10,0,10,0,0,285,100,0,55,40,90,false,false,false,false,
1617velv-canc-cmpd1-Q-19,Q-19,160-75 R,9924,8367,0,11898,7464,0,160,95,0,65,0,0,75,15,0,10,40,10,false,false,false,false,
1617velv-canc-cmpd1-Q-20,Q-20,70-60 R,10917,10434,0,8625,9144,0,70,35,0,35,0,0,60,40,0,20,0,0,false,false,false,false,
