TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-canc-sa,548,Geek Squad,1,12,184,105,6,FC,1.00,37.0,34.9,37.0,34.9,6.4,7.3,0.0,0.0,31.8,28.5,-1.2,-1.1,0.0,0.0,0.0,0.0,
1617velv-canc-sa,4345,ART,2,10,213,95,6,SC,0.83,42.3,39.5,42.3,39.5,29.4,26.3,0.0,0.0,17.8,16.5,-4.9,-3.4,0.0,0.0,0.0,0.0,
1617velv-canc-sa,10023,GatorBots,3,10,195,105,6,WC,0.83,35.0,35.1,35.0,35.1,21.8,20.5,0.0,0.0,12.5,13.8,0.8,0.7,0.0,0.0,0.0,0.0,
1617velv-canc-sa,5220,RoboKnights 5220,4,10,190,180,6,W1,0.83,58.8,54.7,58.8,54.7,26.1,24.1,0.0,0.0,29.4,27.0,3.3,3.5,0.0,0.0,0.0,0.0,
1617velv-canc-sa,11527,49ers STEM Leadership Institute: The Shovels,5,10,168,65,6,SC,0.83,18.5,19.8,18.5,19.8,3.5,3.9,0.0,0.0,14.6,15.2,0.3,0.6,0.0,0.0,0.0,0.0,
1617velv-canc-sa,9924,The White Hat Hackers,6,10,110,100,6,S2,0.83,38.7,36.0,38.7,36.0,15.1,14.5,0.0,0.0,23.8,21.7,-0.1,-0.3,0.0,0.0,0.0,0.0,
1617velv-canc-sa,9614,Hyperion,7,8,270,105,6,F1,0.67,41.1,39.5,41.1,39.5,27.2,24.9,0.0,0.0,11.3,12.2,2.6,2.3,0.0,0.0,0.0,0.0,
1617velv-canc-sa,8865,The Intersect,8,8,177,70,6,W2,0.67,48.8,42.8,48.8,42.8,19.9,17.5,0.0,0.0,29.3,25.4,-0.3,-0.2,0.0,0.0,0.0,0.0,
1617velv-canc-sa,11550,49ers STEM Leadership Institute: Java Seals,9,8,151,95,6,S1,0.67,31.4,30.0,31.4,30.0,2.6,4.0,0.0,0.0,26.3,23.7,2.5,2.2,0.0,0.0,0.0,0.0,
1617velv-canc-sa,4475,Purple Reign,10,8,141,85,6,,0.67,40.7,36.4,40.7,36.4,12.5,11.3,0.0,0.0,29.0,25.6,-0.8,-0.6,0.0,0.0,0.0,0.0,
1617velv-canc-sa,9784,DryKiss,11,7,190,50,6,S1,0.58,17.9,18.4,17.9,18.4,2.6,3.5,0.0,0.0,16.1,15.1,-0.8,-0.2,0.0,0.0,0.0,0.0,
1617velv-canc-sa,11201,Piedmont Pioneers,12,7,142,65,6,,0.58,14.7,16.3,14.7,16.3,4.0,5.2,0.0,0.0,9.4,10.1,1.3,0.9,0.0,0.0,0.0,0.0,
