TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-canc-wc-Q-1,Q-1,110-40 R,6982,6038,0,10717,3791,0,110,60,0,10,40,0,40,10,0,30,0,0,
1617velv-canc-wc-Q-2,Q-2,70-33 R,524,10142,0,5773,5214,0,70,0,0,30,40,0,33,0,0,33,0,0,
1617velv-canc-wc-Q-3,Q-3,100-55 R,11557,6818,0,9578,10794,0,100,40,0,60,0,0,55,40,0,5,10,0,
1617velv-canc-wc-Q-4,Q-4,35-15 R,9914,10717,0,11201,4475,0,35,5,0,30,0,0,15,0,0,15,0,0,
1617velv-canc-wc-Q-5,Q-5,13-130 B,5773,9578,0,5214,6982,0,13,10,0,3,0,0,130,90,0,40,0,0,
1617velv-canc-wc-Q-6,Q-6,70-40 R,11557,4475,0,3791,524,0,70,30,0,30,0,10,40,0,0,20,20,0,
1617velv-canc-wc-Q-7,Q-7,40-85 B,10142,6038,0,11201,6818,0,40,10,0,30,0,0,85,50,0,35,0,0,
1617velv-canc-wc-Q-8,Q-8,75-125 B,10794,5773,0,9914,6982,0,75,35,0,20,20,0,125,55,0,30,40,0,
1617velv-canc-wc-Q-9,Q-9,0-70 B,9578,4475,0,10142,11201,0,0,0,0,0,0,0,70,30,0,40,0,0,
1617velv-canc-wc-Q-10,Q-10,45-45 T,5214,9914,0,6038,11557,0,45,20,0,25,0,0,45,25,0,20,0,0,
1617velv-canc-wc-Q-11,Q-11,55-35 R,3791,6818,0,524,10717,0,55,10,0,45,0,0,35,15,0,20,0,0,
1617velv-canc-wc-Q-12,Q-12,40-45 B,10794,6038,0,5773,4475,0,40,20,0,20,0,0,45,5,0,40,0,0,
1617velv-canc-wc-Q-13,Q-13,90-65 R,10142,6818,0,3791,9914,0,90,55,0,35,0,0,65,25,0,40,0,0,
1617velv-canc-wc-Q-14,Q-14,90-75 R,6982,11201,0,524,11557,0,90,45,0,5,40,0,75,0,0,65,10,0,
1617velv-canc-wc-Q-15,Q-15,45-35 R,5214,9578,0,10717,10794,0,45,5,0,40,0,0,35,25,0,10,0,0,
1617velv-canc-wc-Q-16,Q-16,100-155 B,5773,6982,0,6818,4475,0,100,100,0,0,0,0,155,70,0,85,0,0,
1617velv-canc-wc-Q-17,Q-17,40-60 B,524,9578,0,9914,6038,0,40,10,0,20,10,0,60,25,0,35,0,0,
1617velv-canc-wc-Q-18,Q-18,30-50 B,11201,3791,0,5214,10794,0,30,10,0,20,0,0,50,25,0,25,0,0,
1617velv-canc-wc-Q-19,Q-19,30-25 R,11557,10717,0,10142,5773,0,30,0,0,30,0,0,25,15,0,10,0,0,
1617velv-canc-wc-SF-1-1,SF-1-1,70-65 R,6818,4475,0,11557,11201,0,70,10,0,60,0,0,65,35,0,30,0,0,
1617velv-canc-wc-SF-1-2,SF-1-2,40-85 B,6818,4475,0,11557,11201,0,40,15,0,25,0,0,85,30,0,55,0,0,
1617velv-canc-wc-SF-1-3,SF-1-3,80-180 B,6818,4475,0,11557,11201,0,80,40,0,40,0,0,180,35,0,65,0,80,
1617velv-canc-wc-SF-2-1,SF-2-1,95-65 R,6982,524,0,9914,10794,0,95,30,0,25,40,0,65,15,0,30,20,0,
1617velv-canc-wc-SF-2-2,SF-2-2,155-120 R,6982,524,0,9914,10794,0,155,45,0,30,40,40,120,60,0,40,20,0,
1617velv-canc-wc-F-1,F-1,50-70 B,11557,11201,0,6982,524,0,50,0,0,50,0,0,70,20,0,10,40,0,
1617velv-canc-wc-F-2,F-2,5-105 B,11557,11201,0,6982,524,0,5,0,0,5,0,0,105,55,0,50,0,0,
