TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-cancwc,6818,Aimbot,1,10,295,155,5,SC,
1617velv-cancwc,6982,Metal Magicians,2,8,303,130,5,WC,
1617velv-cancwc,9914,RoboWarriors,3,7,240,125,5,SC,
1617velv-cancwc,11557,The Raging Seabiscuits,4,7,240,100,5,FC,
1617velv-cancwc,5214,Tech Support,5,7,156,130,5,,
1617velv-cancwc,4475,Purple Reign,6,6,195,155,5,S1,
1617velv-cancwc,10142,RoboGrizzlies,7,6,163,90,5,,
1617velv-cancwc,11201,Piedmont Pioneers,8,6,160,90,5,F1,
1617velv-cancwc,6038,Tino Pathfinders,9,5,205,110,5,,
1617velv-cancwc,10717,Robo-Cougars,10,4,150,40,5,,
1617velv-cancwc,5773,Ink and Metal,11,2,273,100,5,,
1617velv-cancwc,10794,Spaceballs,12,2,235,75,5,S1,
1617velv-cancwc,524,Boss Bots,13,2,223,75,5,W1,
1617velv-cancwc,3791,Ziptiez,14,2,210,65,5,,
1617velv-cancwc,9578,Purple Pi,15,2,143,55,5,,
