TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-casdgr,11212,The Clueless,1,12,462,165,6,,
1617velv-casdgr,11128,Inspiration,2,12,440,200,6,,
1617velv-casdgr,7696,RSF Singularity,3,10,461,200,6,,
1617velv-casdgr,3848,Shockwave,4,10,396,150,6,,
1617velv-casdgr,6003,Techno Eagles,5,8,425,155,7,,
1617velv-casdgr,8472,ROBOTATOES,6,8,287,115,6,,
1617velv-casdgr,8000,Team Paradox3,7,6,395,95,7,,
1617velv-casdgr,9892,EngiNERDs,8,6,370,115,6,,
1617velv-casdgr,10092,Green.Griffins,9,6,305,90,6,,
1617velv-casdgr,8605,RSF Logitechies,10,4,485,120,6,,
1617velv-casdgr,8606,RSF Intergalactic Dragons,11,4,450,170,6,,
1617velv-casdgr,7542,OLP MicroChicks,12,4,362,170,6,,
1617velv-casdgr,11285,PATENT PENDING,13,4,320,150,6,,
1617velv-casdgr,8039,Return of the Adrenaline Snails,14,4,296,105,6,,
1617velv-casdgr,5135,Team Uncopyrightable,15,4,273,81,6,,
1617velv-casdgr,5828,E.M.P. Chaos,16,2,345,155,6,,
1617velv-casdgr,11411,Cherry Pi,17,0,400,85,6,,
