TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-casdlj1,10809,Crow Force 5,1,12,161,130,6,,
1617velv-casdlj1,12073,The Trisectors,2,10,205,100,6,,
1617velv-casdlj1,3650,Torrey Techies,3,8,165,130,6,,
1617velv-casdlj1,4216,Rise of Hephaestus,4,8,156,90,6,,
1617velv-casdlj1,8097,Botcats,5,8,151,80,6,,
1617velv-casdlj1,11288,Seminerds,6,8,76,65,6,,
1617velv-casdlj1,11128,Inspiration,7,6,182,60,6,,
1617velv-casdlj1,3513,Domo Arigato,8,6,125,90,6,,
1617velv-casdlj1,4278,De.Evolution,9,6,120,100,6,,
1617velv-casdlj1,3712,Purple F.E.A.R. (Fierce Eagle Advanced Robotics),10,4,140,76,6,,
1617velv-casdlj1,9367,Torrey Techies White,11,4,94,75,6,,
1617velv-casdlj1,8742,RoboTechs,12,4,90,65,6,,
1617velv-casdlj1,11411,Cherry Pi,13,4,71,70,6,,
1617velv-casdlj1,9837,Ravenettes,14,2,130,46,6,,
1617velv-casdlj1,7159,Robo Ravens,15,0,110,45,6,,
