TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-casdmd-Q-1,Q-1,75-65 R,11107,8742,0,8906,11350,0,75,65,
1617velv-casdmd-Q-2,Q-2,20-55 B,10221,10390,0,8380,11328,0,20,55,
1617velv-casdmd-Q-3,Q-3,35-31 R,3712,9022,0,11278,11938,0,35,31,
1617velv-casdmd-Q-4,Q-4,105-20 R,6074,9164,0,5540,11764,0,105,20,
1617velv-casdmd-Q-5,Q-5,75-35 R,8380,11107,0,3712,11278,0,75,35,
1617velv-casdmd-Q-6,Q-6,25-30 B,9022,8906,0,11328,10221,0,25,30,
1617velv-casdmd-Q-7,Q-7,35-35 T,6074,5540,0,10390,11350,0,35,35,
1617velv-casdmd-Q-8,Q-8,50-130 B,8742,11938,0,11764,9164,0,50,130,
1617velv-casdmd-Q-9,Q-9,100-20 R,3712,11350,0,9022,10390,0,100,20,
1617velv-casdmd-Q-10,Q-10,45-60 B,11278,8380,0,6074,8906,0,45,60,
1617velv-casdmd-Q-11,Q-11,20-65 B,5540,10221,0,8742,11764,0,20,65,
1617velv-casdmd-Q-12,Q-12,85-122 B,11328,11107,0,11938,9164,0,85,122,
1617velv-casdmd-Q-13,Q-13,5-41 B,8906,11764,0,10390,3712,0,5,41,
1617velv-casdmd-Q-14,Q-14,85-70 R,9164,8742,0,9022,8380,0,85,70,
1617velv-casdmd-Q-15,Q-15,45-60 B,11328,11278,0,5540,11350,0,45,60,
1617velv-casdmd-Q-16,Q-16,97-15 R,11107,11938,0,6074,10221,0,97,15,
1617velv-casdmd-Q-17,Q-17,30-25 R,11328,11350,0,8380,11764,0,30,25,
1617velv-casdmd-Q-18,Q-18,25-70 B,11938,10390,0,8742,11278,0,25,70,
1617velv-casdmd-Q-19,Q-19,65-20 R,9022,5540,0,6074,11107,0,65,20,
1617velv-casdmd-Q-20,Q-20,90-20 R,9164,3712,0,10221,8906,0,90,20,
1617velv-casdmd-Q-21,Q-21,15-155 B,10390,11764,0,9022,11107,0,15,155,
1617velv-casdmd-Q-22,Q-22,95-60 R,11278,11350,0,10221,9164,0,95,60,
1617velv-casdmd-Q-23,Q-23,10-49 B,8380,8906,0,11938,5540,0,10,49,
1617velv-casdmd-Q-24,Q-24,215-30 R,6074,11328,0,8742,3712,0,215,30,
