TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-casdrr1,11212,The Clueless,1,12,120,145,6,,
1617velv-casdrr1,8471,The Ducks,2,10,122,105,6,,
1617velv-casdrr1,3848,Shockwave,3,8,267,120,6,,
1617velv-casdrr1,11328,Foothills Engineers,4,8,112,60,6,,
1617velv-casdrr1,9049,RoboPuffs,5,7,178,145,6,,
1617velv-casdrr1,12406,Hakuna Automata,6,6,108,120,6,,
1617velv-casdrr1,8606,RSF Intergalactic Dragons,7,6,101,80,6,,
1617velv-casdrr1,9164,Zorrobots,8,5,207,85,6,,
1617velv-casdrr1,9022,T-Wrecks,9,5,195,70,6,,
1617velv-casdrr1,7696,RSF Singularity,10,5,173,70,6,,
1617velv-casdrr1,8605,RSF Logitechies,11,5,170,120,6,,
1617velv-casdrr1,12405,Game of Drones,12,4,107,80,6,,
1617velv-casdrr1,10793,Voltrons,13,4,62,100,6,,
1617velv-casdrr1,5015,Buffalo Wings,14,3,78,43,6,,
1617velv-casdrr1,6226,Bambusa,15,2,100,50,6,,
