TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-casdrr2-Q-1,Q-1,9-115 B,10564,6226,0,7696,11278,0,9,115,
1617velv-casdrr2-Q-2,Q-2,70-85 B,8606,9049,0,11128,11764,0,70,85,
1617velv-casdrr2-Q-3,Q-3,50-20 R,6016,8039,0,9892,8380,0,50,20,
1617velv-casdrr2-Q-4,Q-4,75-80 B,3712,5015,0,8742,8605,0,75,80,
1617velv-casdrr2-Q-5,Q-5,65-20 R,10564,11278,0,8039,9049,0,65,20,
1617velv-casdrr2-Q-6,Q-6,95-10 R,5015,8606,0,6226,6016,0,95,10,
1617velv-casdrr2-Q-7,Q-7,80-10 R,8380,11128,0,3712,11764,0,80,10,
1617velv-casdrr2-Q-8,Q-8,140-85 R,9892,8605,0,8742,7696,0,140,85,
1617velv-casdrr2-Q-9,Q-9,0-10 B,6226,5015,0,8380,11764,0,0,10,
1617velv-casdrr2-Q-10,Q-10,155-80 R,8605,7696,0,9049,11128,0,155,80,
1617velv-casdrr2-Q-11,Q-11,45-40 R,8742,6016,0,10564,8039,0,45,40,
1617velv-casdrr2-Q-12,Q-12,75-120 B,11278,9892,0,3712,8606,0,75,120,
1617velv-casdrr2-Q-13,Q-13,155-10 R,8605,11128,0,8039,6226,0,155,10,
1617velv-casdrr2-Q-14,Q-14,10-130 B,10564,11764,0,8742,9892,0,10,130,
1617velv-casdrr2-Q-15,Q-15,135-225 B,8380,7696,0,11278,8606,0,135,225,
1617velv-casdrr2-Q-16,Q-16,75-20 R,9049,3712,0,6016,5015,0,75,20,
1617velv-casdrr2-Q-17,Q-17,40-100 B,8380,8606,0,10564,8605,0,40,100,
1617velv-casdrr2-Q-18,Q-18,130-50 R,8039,7696,0,5015,11764,0,130,50,
1617velv-casdrr2-Q-19,Q-19,95-55 R,11278,8742,0,11128,6016,0,95,55,
1617velv-casdrr2-Q-20,Q-20,12-40 B,6226,9049,0,3712,9892,0,12,40,
1617velv-casdrr2-Q-21,Q-21,80-120 B,8605,11764,0,11278,6016,0,80,120,
1617velv-casdrr2-Q-22,Q-22,105-55 R,11128,5015,0,10564,9892,0,105,55,
1617velv-casdrr2-Q-23,Q-23,15-110 B,3712,8039,0,8606,7696,0,15,110,
1617velv-casdrr2-Q-24,Q-24,95-16 R,9049,8742,0,6226,8380,0,95,16,
