TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-cmptx-d1-Q-1,Q-1,170-75 R,3480,10523,0,6302,8418,0,170,75,0,55,40,0,75,35,0,20,20,0,false,false,false,false,
1617velv-cmptx-d1-Q-2,Q-2,110-115 B,5937,8627,0,9879,7444,0,110,45,0,45,20,0,115,40,0,55,20,0,false,false,false,false,
1617velv-cmptx-d1-Q-3,Q-3,215-105 R,8471,5795,0,3208,11192,0,215,100,0,75,40,0,105,10,0,95,0,0,false,false,false,false,
1617velv-cmptx-d1-Q-4,Q-4,250-170 R,10165,3666,0,9829,3525,0,250,110,0,100,40,0,170,95,0,35,40,0,false,false,false,false,
1617velv-cmptx-d1-Q-5,Q-5,175-240 B,9899,8327,0,753,724,0,175,95,0,40,40,0,240,110,0,130,0,0,false,false,false,false,
1617velv-cmptx-d1-Q-6,Q-6,81-15 R,11497,608,0,11214,4683,0,81,10,0,31,0,40,15,5,0,10,0,0,false,false,false,false,
1617velv-cmptx-d1-Q-7,Q-7,220-105 R,7161,4628,0,5687,5009,0,220,125,0,55,40,0,105,20,0,45,40,0,false,false,false,false,
1617velv-cmptx-d1-Q-8,Q-8,230-85 R,8923,7477,0,4155,11524,0,230,120,0,90,20,0,85,30,0,55,0,0,false,false,false,false,
1617velv-cmptx-d1-Q-9,Q-9,230-220 R,8668,11168,0,7802,5064,0,230,110,0,80,40,0,220,120,0,60,40,0,false,false,false,false,
1617velv-cmptx-d1-Q-10,Q-10,170-165 R,11260,6174,0,8176,11121,0,170,105,0,45,20,0,165,55,0,110,0,0,false,false,false,false,
1617velv-cmptx-d1-Q-11,Q-11,195-200 B,6299,12542,0,7750,11549,0,195,80,0,95,20,0,200,65,0,95,40,0,false,false,false,false,
1617velv-cmptx-d1-Q-12,Q-12,245-135 R,10060,4216,0,25,6990,0,245,120,0,85,40,0,135,45,0,50,40,0,false,false,false,false,
1617velv-cmptx-d1-Q-13,Q-13,175-105 R,7153,4549,0,3746,8496,0,175,90,0,85,0,0,105,40,0,25,40,0,false,false,false,false,
1617velv-cmptx-d1-Q-14,Q-14,265-85 R,11572,12540,0,10247,12561,0,265,105,0,120,40,0,85,50,0,35,0,0,false,false,false,false,
1617velv-cmptx-d1-Q-15,Q-15,120-130 B,8815,10298,0,8373,12527,0,120,50,0,70,0,0,130,60,0,70,0,0,false,false,false,false,
1617velv-cmptx-d1-Q-16,Q-16,195-115 R,6559,3595,0,8651,7172,0,195,90,0,65,40,0,115,15,0,100,0,0,false,false,false,false,
1617velv-cmptx-d1-Q-17,Q-17,160-160 T,10523,9899,0,3208,5937,0,160,95,0,65,0,0,160,50,0,70,40,0,false,false,false,false,
1617velv-cmptx-d1-Q-18,Q-18,165-220 B,5009,8327,0,7477,8668,0,165,90,0,35,40,0,220,65,0,115,40,0,false,false,false,false,
1617velv-cmptx-d1-Q-19,Q-19,205-180 R,5687,5064,0,10165,8471,0,205,85,0,80,40,0,180,65,0,75,40,0,false,false,false,false,
1617velv-cmptx-d1-Q-20,Q-20,250-70 R,11214,3480,0,4628,8627,0,250,125,0,85,40,0,70,0,0,60,10,0,false,false,false,false,
1617velv-cmptx-d1-Q-21,Q-21,95-81 R,11260,25,0,9879,11524,0,95,30,0,45,20,0,81,40,0,41,0,0,false,false,false,false,
