TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-co-em-Q-1,Q-1,48-20 R,11370,7483,0,3479,11946,0,48,35,0,13,0,0,20,0,0,0,0,20,
1617velv-co-em-Q-2,Q-2,0-45 B,8969,11561,0,11295,3847,0,0,0,0,0,0,0,45,5,0,40,0,0,
1617velv-co-em-Q-3,Q-3,20-10 R,760,3746,0,9068,3980,0,20,5,0,15,0,0,10,0,0,0,10,0,
1617velv-co-em-Q-4,Q-4,40-21 R,11948,11308,0,11330,11370,0,40,15,0,25,0,0,21,0,0,21,0,0,
1617velv-co-em-Q-5,Q-5,30-5 R,8969,3847,0,11946,9068,0,30,10,0,20,0,0,5,5,0,0,0,0,
1617velv-co-em-Q-6,Q-6,0-45 B,11330,3479,0,11295,3980,0,0,0,0,0,0,0,45,5,0,30,10,0,
1617velv-co-em-Q-7,Q-7,55-15 R,11561,7483,0,11948,3746,0,55,5,0,50,0,0,15,5,0,10,0,0,
1617velv-co-em-Q-8,Q-8,77-45 R,11308,11370,0,760,8969,0,77,10,0,27,40,0,45,5,0,10,0,30,
1617velv-co-em-Q-9,Q-9,55-45 R,3980,3746,0,11948,3847,0,55,10,0,45,0,0,45,5,0,0,40,0,
1617velv-co-em-Q-10,Q-10,10-30 B,11946,760,0,11330,11561,0,10,0,0,10,0,0,30,0,0,20,0,10,
1617velv-co-em-Q-11,Q-11,36-40 B,11295,9068,0,7483,11308,0,36,5,0,31,0,0,40,10,0,20,10,0,
1617velv-co-em-Q-12,Q-12,80-30 R,3479,3847,0,11948,760,0,80,40,0,20,20,0,30,10,0,20,0,0,
1617velv-co-em-Q-13,Q-13,1-85 B,11370,11946,0,11295,3746,0,1,0,0,1,0,0,85,30,0,45,0,10,
1617velv-co-em-Q-14,Q-14,5-55 B,3980,11330,0,8969,7483,0,5,5,0,0,0,0,55,10,0,45,0,0,
1617velv-co-em-Q-15,Q-15,62-10 R,11308,9068,0,11561,3479,0,62,0,0,42,20,0,10,0,0,0,0,10,
1617velv-co-em-Q-16,Q-16,50-35 R,7483,11295,0,760,3847,0,50,5,0,45,0,0,35,35,0,0,0,0,
1617velv-co-em-Q-17,Q-17,0-0 T,11561,9068,0,3980,11370,0,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-co-em-Q-18,Q-18,15-40 B,3746,3479,0,8969,11330,0,15,10,0,5,0,0,40,0,0,40,0,0,
1617velv-co-em-Q-19,Q-19,45-35 R,11948,3980,0,11946,11308,0,45,0,0,35,10,0,35,10,0,5,20,0,
1617velv-co-em-SF-1-1,SF-1-1,105-40 R,7483,3847,0,3980,760,0,105,35,0,30,40,0,40,10,0,20,10,0,
1617velv-co-em-SF-2-1,SF-2-1,75-65 R,11308,3746,0,11295,8969,0,75,40,0,35,0,0,65,35,0,30,0,0,
1617velv-co-em-SF-1-2,SF-1-2,130-45 R,7483,3847,0,3980,760,0,130,65,0,25,40,0,45,5,0,30,10,0,
1617velv-co-em-SF-2-2,SF-2-2,45-95 B,11308,3746,0,11295,8969,0,45,0,0,25,20,0,95,65,0,30,0,0,
1617velv-co-em-F-1,F-1,135-35 R,7483,3847,0,11295,8969,0,135,70,0,45,20,0,35,35,0,0,0,0,
1617velv-co-em-F-2,F-2,80-35 R,7483,3847,0,11295,8969,0,80,55,0,25,0,0,35,5,0,30,0,0,
1617velv-co-em-F-3,F-3,0-0 T,7483,3847,0,11295,8969,0,0,0,0,0,0,0,0,0,0,0,0,0,
