TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-co-no,6929,Data Force,1,10,340,240,5,WC,1.00,155.2,127.7,157.6,128.8,72.6,58.8,0.0,0.0,79.0,65.9,3.6,2.5,-0.0,0.4,-2.4,-1.5,
1617velv-co-no,8232,The Blown Fuses,2,10,230,240,5,FC,1.00,38.8,46.4,29.3,38.8,15.9,19.5,0.0,0.0,23.9,26.3,-2.3,-0.4,1.3,1.0,8.3,6.5,
1617velv-co-no,9899,Black Diamond Robotics,3,8,480,140,5,W1,0.80,119.6,101.2,122.6,102.9,73.3,61.1,0.0,0.0,47.8,40.9,1.2,0.9,-2.7,-1.9,-0.4,0.1,
1617velv-co-no,4736,Chelonians of Cerulean,4,6,245,115,5,SC,0.60,15.6,19.9,10.3,14.8,-5.1,-0.9,0.0,0.0,4.9,7.3,8.3,6.9,7.5,6.4,-2.2,-1.4,
1617velv-co-no,6382,Wizardly Robots,5,6,225,185,5,SC,0.60,22.1,28.4,17.9,25.5,7.7,11.3,0.0,0.0,9.5,12.4,4.2,4.2,0.8,0.4,3.4,2.4,
1617velv-co-no,4104,Robo Lobo,6,6,145,180,5,,0.60,20.8,28.8,23.4,30.4,15.9,18.1,0.0,0.0,8.7,12.9,-3.7,-2.3,-0.1,-0.1,-2.6,-1.7,
1617velv-co-no,5899,Hungry Hungry Hippogriffs,7,6,130,65,5,,0.60,27.4,27.1,23.4,24.0,10.5,10.1,0.0,0.0,10.2,9.8,4.1,4.7,2.7,2.3,1.4,0.7,
1617velv-co-no,11260,Up-A-Creek Robotics,8,4,335,125,5,F1,0.40,80.9,68.6,78.8,67.1,44.1,37.1,0.0,0.0,36.5,31.0,1.1,1.1,-0.8,-0.7,2.9,2.1,
1617velv-co-no,11223,Heath Panthers,9,4,210,155,5,S1,0.40,11.6,21.4,2.4,14.4,-5.4,1.7,0.0,0.0,11.0,14.1,-2.1,-1.0,8.1,6.4,1.1,0.5,
1617velv-co-no,10448,Wizard Bots,10,4,200,100,5,,0.40,52.7,45.4,45.0,39.1,12.7,11.4,0.0,0.0,33.3,28.2,6.4,5.6,0.3,0.1,7.4,6.0,
1617velv-co-no,10593,Overdrive,11,4,190,90,5,S1,0.40,23.1,23.2,28.1,26.4,2.0,2.6,0.0,0.0,0.4,2.1,22.0,19.3,-1.3,-0.8,-3.7,-2.4,
1617velv-co-no,4284,Polar Droids,12,4,175,140,5,,0.40,18.6,21.9,20.5,22.7,14.2,14.1,0.0,0.0,7.2,9.7,-1.1,-0.8,-1.7,-1.2,-0.3,0.2,
1617velv-co-no,5115,Robo Wizards,13,4,145,90,5,,0.40,10.6,15.3,12.1,16.1,3.4,6.1,0.0,0.0,9.3,10.4,-1.8,-1.0,-0.3,-0.2,-1.2,-0.7,
1617velv-co-no,7795,CARACAS,14,4,130,90,5,,0.40,24.9,23.1,22.1,21.0,7.8,7.3,0.0,0.0,2.4,3.4,12.3,10.5,2.4,1.8,0.4,0.2,
1617velv-co-no,12369,Wizbots,15,4,110,155,5,,0.40,-9.1,4.8,-11.2,3.2,-12.1,-3.8,0.0,0.0,6.8,10.8,-4.0,-2.4,0.3,0.1,1.8,1.5,
1617velv-co-no,12426,Metal Benders,16,2,155,50,5,,0.20,-4.6,3.3,-6.5,1.8,-6.6,-2.6,0.0,0.0,-1.6,2.1,3.2,3.4,0.4,0.3,1.4,1.1,
1617velv-co-no,10736,RoboWiz,17,0,185,125,5,,0.00,8.3,12.1,11.9,14.4,12.0,11.4,0.0,0.0,1.2,3.5,-1.5,-0.6,-3.4,-2.3,-0.2,-0.1,
