TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-de-cmp,7423,Flaming Phoenix,1,10,455,165,5,WC,1.00,75.6,73.6,82.2,76.0,33.8,33.0,0.0,0.0,36.5,35.1,0.2,1.0,5.1,4.4,-11.6,-6.9,
1617velv-de-cmp,9794,Wizards.exe,2,8,475,305,5,FC,0.80,156.6,137.7,120.5,110.2,58.0,50.9,0.0,0.0,46.2,42.4,22.6,20.1,29.9,24.2,6.3,3.3,
1617velv-de-cmp,7244,OUT of the BOX,3,8,455,250,5,SC,0.80,82.3,79.8,103.1,92.4,31.0,31.1,0.0,0.0,47.6,42.6,16.9,14.4,-13.1,-8.4,-7.6,-4.3,
1617velv-de-cmp,6964,Igutech,4,8,410,220,5,SC,0.80,110.8,97.6,109.4,96.1,55.0,48.2,0.0,0.0,24.5,24.1,25.4,20.8,5.9,4.5,-4.4,-3.0,
1617velv-de-cmp,8221,CUBIX^3,5,8,406,220,5,W1,0.80,92.5,89.6,105.5,95.6,30.4,30.8,0.0,0.0,62.1,55.3,2.5,3.2,-2.5,0.3,-10.4,-6.4,
1617velv-de-cmp,6180,Batteries Not Included,6,6,515,136,5,F2,0.60,85.5,77.5,85.0,76.6,59.0,51.7,0.0,0.0,28.0,26.0,-1.5,-0.8,-0.0,0.5,0.6,0.3,
1617velv-de-cmp,365,MOE (The Miracle Workerz),7,6,420,185,5,S1,0.60,61.0,60.6,70.4,65.9,25.5,24.9,0.0,0.0,43.0,38.8,1.6,2.4,-9.1,-5.5,-0.3,0.1,
1617velv-de-cmp,8297,Geared UP!,8,6,385,205,5,S1,0.60,71.0,67.7,90.6,78.7,18.0,19.8,0.0,0.0,25.2,23.0,31.7,26.6,-3.9,-1.8,-15.7,-9.3,
1617velv-de-cmp,7071,EngiNerds,9,6,382,115,5,S2,0.60,24.2,29.4,-3.0,8.7,17.4,17.1,0.0,0.0,5.9,10.3,-0.4,1.4,1.3,0.5,25.9,20.1,
1617velv-de-cmp,7182,Mechanical Paradox,10,6,366,295,5,W2,0.60,112.7,99.7,58.8,55.9,29.1,28.5,0.0,0.0,54.9,48.8,2.0,1.6,26.6,20.8,27.3,22.8,
1617velv-de-cmp,8528,Rhyme Know Reason,11,6,340,135,5,,0.60,32.1,37.4,31.2,36.9,28.3,28.6,0.0,0.0,4.8,8.4,0.9,1.8,-1.9,-1.5,2.8,1.9,
1617velv-de-cmp,4200,The X-Squared Factor,12,6,305,150,5,,0.60,29.6,36.5,-9.1,5.2,11.7,14.6,0.0,0.0,7.6,11.6,0.7,2.6,9.6,7.7,29.1,23.6,
1617velv-de-cmp,7314,Sab-BOT-age,13,4,455,295,5,,0.40,77.3,75.9,59.0,60.5,34.1,32.1,0.0,0.0,20.8,23.8,2.6,3.3,19.8,16.7,-1.5,-1.4,
1617velv-de-cmp,5916,BoBots,14,4,261,155,5,F1,0.40,49.0,47.5,64.0,55.8,-0.7,2.2,0.0,0.0,42.3,37.2,14.5,12.0,-7.1,-4.1,-8.0,-4.3,
1617velv-de-cmp,7584,Bad News Bots,15,4,232,90,5,S2,0.40,13.5,17.2,15.0,16.0,6.8,10.4,0.0,0.0,3.0,4.5,0.4,-0.1,3.3,2.2,-4.8,-1.1,
1617velv-de-cmp,61,OZONE,16,2,373,136,5,,0.20,24.8,30.7,18.9,26.8,11.7,13.9,0.0,0.0,9.0,12.2,1.3,2.7,2.8,1.8,3.1,1.9,
1617velv-de-cmp,11440,Ohmega,17,2,360,150,5,,0.20,30.9,34.7,47.2,43.2,19.1,19.4,0.0,0.0,20.2,20.3,-0.2,-0.2,-8.3,-4.9,-8.0,-3.6,
1617velv-de-cmp,6971,Robo Panthers,18,2,360,110,5,,0.20,17.2,25.7,-20.8,-5.0,19.6,19.6,0.0,0.0,3.0,7.9,-2.8,-0.7,-2.6,-1.3,40.6,31.9,
1617velv-de-cmp,395,Robauktics,19,2,355,155,5,,0.20,52.0,53.3,43.7,48.8,9.1,11.7,0.0,0.0,33.7,33.7,5.0,5.3,4.2,2.5,4.1,1.9,
1617velv-de-cmp,9683,ITSAR_9683,20,2,345,170,5,,0.20,3.4,18.1,29.9,35.0,26.0,26.3,0.0,0.0,-0.8,4.1,-2.2,0.1,-19.6,-12.5,-7.0,-4.6,
1617velv-de-cmp,9854,Penn Charter Robotics,21,2,297,180,5,,0.20,27.5,31.8,23.5,30.0,12.1,13.4,0.0,0.0,18.5,20.4,-2.1,-1.0,-0.9,-1.1,5.0,2.8,
1617velv-de-cmp,6045,OHMBoys,22,2,290,305,5,,0.20,29.4,36.4,-13.5,1.6,-3.7,3.2,0.0,0.0,0.4,4.9,0.6,2.0,32.2,26.2,10.7,8.5,
