TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-fl-cmp-Q-1,Q-1,120-70 R,10830,10087,0,10413,8754,0,120,85,0,35,0,0,70,25,0,25,20,0,false,false,false,false,
1617velv-fl-cmp-Q-2,Q-2,190-130 R,8996,9110,0,6322,11555,0,190,70,0,80,40,0,130,45,0,45,40,0,false,false,false,false,
1617velv-fl-cmp-Q-3,Q-3,150-160 B,9277,10345,0,7203,2845,0,150,45,0,105,0,0,160,90,0,30,40,0,false,false,false,false,
1617velv-fl-cmp-Q-4,Q-4,60-220 B,3846,10497,0,7477,9177,0,60,0,0,50,10,0,220,100,0,80,40,0,false,false,false,false,
1617velv-fl-cmp-Q-5,Q-5,205-130 R,506,4717,0,4997,7826,0,205,85,0,100,20,0,130,80,0,50,0,0,false,false,false,false,
1617velv-fl-cmp-Q-6,Q-6,140-35 R,3888,7509,0,5257,9930,0,140,70,0,30,40,0,35,20,0,15,0,0,false,false,false,false,
1617velv-fl-cmp-Q-7,Q-7,160-145 R,9779,6433,0,6323,5937,0,160,75,0,85,0,0,145,55,0,90,0,0,false,false,false,false,
1617velv-fl-cmp-Q-8,Q-8,191-116 R,8908,10413,0,9277,8996,0,191,100,0,51,40,0,116,70,0,46,0,0,false,false,false,false,
1617velv-fl-cmp-Q-9,Q-9,265-125 R,4717,7203,0,9177,10087,0,265,110,0,115,40,0,125,40,0,85,0,0,false,false,false,false,
1617velv-fl-cmp-Q-10,Q-10,190-100 R,5257,7477,0,10830,4997,0,190,80,0,70,40,0,100,60,0,40,0,0,false,false,false,false,
1617velv-fl-cmp-Q-11,Q-11,150-150 T,10345,3846,0,506,9930,0,150,70,0,40,40,0,150,110,0,40,0,0,false,false,false,false,
1617velv-fl-cmp-Q-12,Q-12,145-115 R,8908,6433,0,8754,6322,0,145,85,0,60,0,0,115,20,0,55,40,0,false,false,false,false,
1617velv-fl-cmp-Q-13,Q-13,90-75 R,7826,6323,0,10497,11555,0,90,25,0,65,0,0,75,45,0,30,0,0,false,false,false,false,
1617velv-fl-cmp-Q-14,Q-14,95-195 B,2845,7509,0,9110,9779,0,95,55,0,30,10,0,195,110,0,85,0,0,false,false,false,false,
1617velv-fl-cmp-Q-15,Q-15,95-165 B,5937,3846,0,3888,4717,0,95,10,0,45,40,0,165,95,0,30,40,0,false,false,false,false,
1617velv-fl-cmp-Q-16,Q-16,90-120 B,506,5257,0,8754,8996,0,90,10,0,40,0,40,120,40,0,80,0,0,false,false,false,false,
1617velv-fl-cmp-Q-17,Q-17,180-65 R,4997,10345,0,10087,6323,0,180,100,0,80,0,0,65,15,0,50,0,0,false,false,false,false,
1617velv-fl-cmp-Q-18,Q-18,55-115 B,10413,9930,0,9177,9779,0,55,15,0,20,20,0,115,40,0,75,0,0,false,false,false,false,
1617velv-fl-cmp-Q-19,Q-19,160-90 R,6433,11555,0,2845,3888,0,160,65,0,95,0,0,90,30,0,20,0,40,false,false,false,false,
1617velv-fl-cmp-Q-20,Q-20,65-110 B,9110,10830,0,9277,5937,0,65,35,0,20,10,0,110,30,0,80,0,0,false,false,false,false,
