TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-fl-nelcmp,10179,Tech Turtles,1,10,156,122,5,FC,1.00,58.8,51.7,70.0,58.6,26.3,22.7,0.0,0.0,33.3,28.5,1.8,1.5,-2.6,-1.1,-8.6,-5.7,
1617velv-fl-nelcmp,10497,SwampBots,2,8,230,115,5,F1,0.80,53.6,48.8,72.1,60.0,32.1,27.3,0.0,0.0,27.6,24.3,2.0,2.0,-8.1,-4.9,-10.4,-6.3,
1617velv-fl-nelcmp,10276,talknerdytome,3,8,212,270,5,SC,0.80,59.9,55.1,28.9,28.5,12.8,12.9,0.0,0.0,7.7,9.6,6.4,5.1,33.1,27.4,-2.1,-0.8,
1617velv-fl-nelcmp,12102,Patriot Programmers,4,8,206,270,5,S1,0.80,78.0,70.2,39.1,39.2,22.8,21.6,0.0,0.0,21.3,20.9,-2.2,-1.5,36.1,29.1,2.8,1.9,
1617velv-fl-nelcmp,10385,RoboTech Warriors,5,8,175,85,5,WC,0.80,46.2,41.8,51.7,45.1,26.0,22.4,0.0,0.0,24.3,21.2,1.7,1.5,-5.8,-3.4,0.3,0.1,
1617velv-fl-nelcmp,11172,Bolles Bots,6,8,159,90,5,SC,0.80,16.4,19.3,19.6,22.1,15.8,14.7,0.0,0.0,6.3,8.3,0.5,0.7,-6.2,-4.4,2.9,1.7,
1617velv-fl-nelcmp,10413,Imaginary Radicals,7,8,157,95,5,W1,0.80,58.2,50.0,46.0,38.8,18.1,15.0,0.0,0.0,14.4,14.2,9.0,7.4,16.6,13.3,-4.4,-2.2,
1617velv-fl-nelcmp,10584,Keystone Heights High School,8,8,148,90,5,S1,0.80,19.9,21.8,17.5,19.1,-1.9,1.2,0.0,0.0,14.3,14.1,0.3,0.5,7.2,6.0,-4.9,-3.3,
1617velv-fl-nelcmp,8798,Aluminati Industries,9,8,102,93,5,,0.80,36.3,34.2,45.2,38.7,13.5,11.3,0.0,0.0,31.7,27.1,1.4,1.6,-10.2,-5.9,1.4,1.4,
1617velv-fl-nelcmp,9944,SATURN,10,6,172,60,5,,0.60,22.5,22.0,26.8,24.1,6.3,6.2,0.0,0.0,22.3,19.0,0.9,0.9,-7.0,-4.2,2.7,2.1,
1617velv-fl-nelcmp,9435,Mechanical Eagles,11,6,140,64,5,,0.60,16.1,17.9,14.0,15.1,9.6,9.4,0.0,0.0,15.1,13.3,0.3,0.2,-8.9,-5.2,11.1,8.0,
1617velv-fl-nelcmp,12225,Patriot Oaks Academy,12,6,137,80,5,,0.60,7.1,11.8,1.6,7.1,-3.4,-0.1,0.0,0.0,6.4,9.3,-0.8,-0.6,5.0,3.2,0.5,1.5,
1617velv-fl-nelcmp,10013,Master Builders,13,6,136,95,5,,0.60,18.3,21.3,19.7,22.7,-4.8,-0.6,0.0,0.0,12.5,13.2,10.2,8.6,0.4,-0.0,-1.9,-1.5,
1617velv-fl-nelcmp,10768,Middleburg High School,14,6,135,91,5,,0.60,21.2,22.7,14.5,18.3,8.8,9.1,0.0,0.0,7.6,10.7,-0.9,-0.3,5.7,3.1,1.1,1.3,
