TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-fl-pb1c-Q-1,Q-1,25-30 B,8551,5158,0,9497,10743,0,25,10,0,15,0,0,30,10,0,20,0,0,
1617velv-fl-pb1c-Q-2,Q-2,75-15 R,9498,5257,0,10744,11551,0,75,0,0,75,0,0,15,15,0,0,0,0,
1617velv-fl-pb1c-Q-3,Q-3,10-70 B,10688,6568,0,10206,9177,0,10,10,0,0,0,0,70,35,0,35,0,0,
1617velv-fl-pb1c-Q-4,Q-4,40-15 R,7625,9497,0,10743,11551,0,40,10,0,30,0,0,15,5,0,10,0,0,
1617velv-fl-pb1c-Q-5,Q-5,43-40 R,6568,10206,0,5257,8551,0,43,10,0,33,0,0,40,25,0,15,0,0,
1617velv-fl-pb1c-Q-6,Q-6,65-26 R,7625,9177,0,5158,10744,0,65,40,0,25,0,0,26,15,0,11,0,0,
1617velv-fl-pb1c-Q-7,Q-7,43-50 B,9498,10743,0,10688,5257,0,43,10,0,33,0,0,50,25,0,25,0,0,
1617velv-fl-pb1c-Q-8,Q-8,30-45 B,10206,11551,0,9177,8551,0,30,10,0,0,20,0,45,5,0,40,0,0,
1617velv-fl-pb1c-Q-9,Q-9,15-30 B,9498,10744,0,10688,9497,0,15,0,0,15,0,0,30,0,0,30,0,0,
1617velv-fl-pb1c-Q-10,Q-10,45-55 B,5158,7625,0,6568,5257,0,45,15,0,30,0,0,55,20,0,25,10,0,
1617velv-fl-pb1c-Q-11,Q-11,30-50 B,8551,10743,0,9177,10744,0,30,5,0,25,0,0,50,10,0,40,0,0,
1617velv-fl-pb1c-Q-12,Q-12,50-12 R,9497,10206,0,9498,7625,0,50,10,0,40,0,0,12,10,0,2,0,0,
1617velv-fl-pb1c-Q-13,Q-13,10-25 B,11551,10688,0,5158,6568,0,10,0,0,10,0,0,25,5,0,20,0,0,
1617velv-fl-pb1c-Q-14,Q-14,30-75 B,5257,10206,0,9497,9177,0,30,20,0,10,0,0,75,20,0,55,0,0,
1617velv-fl-pb1c-Q-15,Q-15,20-32 B,9498,10688,0,8551,7625,0,20,10,0,10,0,0,32,10,0,22,0,0,
1617velv-fl-pb1c-Q-16,Q-16,55-5 R,10744,10743,0,11551,6568,0,55,25,0,30,0,0,5,5,0,0,0,0,
1617velv-fl-pb1c-Q-17,Q-17,80-22 R,5158,9177,0,10206,9498,0,80,35,0,45,0,0,22,10,0,12,0,0,
