TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-fl-pb2b,450,Children of the Swamp,1,10,125,85,5,,1.00,43.0,37.7,40.4,35.8,16.9,15.0,0.0,0.0,22.4,19.3,1.4,1.6,2.2,1.7,0.4,0.2,
1617velv-fl-pb2b,7509,Blazer Robotics,2,10,120,100,5,,1.00,39.9,37.3,40.9,37.9,25.1,22.7,0.0,0.0,15.4,14.9,0.0,-0.0,-0.6,-0.3,-0.4,-0.3,
1617velv-fl-pb2b,11796,TechGarage 1,3,10,100,100,5,,1.00,57.4,49.3,56.9,49.0,34.8,28.9,0.0,0.0,21.8,19.7,0.6,0.4,0.2,0.1,0.3,0.2,
1617velv-fl-pb2b,6364,Pulsatrix,4,8,159,155,5,,0.80,47.4,42.0,46.9,41.7,31.9,27.3,0.0,0.0,13.5,13.0,1.8,1.5,0.3,0.2,0.2,0.1,
1617velv-fl-pb2b,5257,Eagles Robotics Xperience,5,8,135,155,5,,0.80,75.0,63.7,75.6,64.0,29.9,25.0,0.0,0.0,38.3,32.8,7.3,6.1,-0.6,-0.4,-0.0,0.0,
1617velv-fl-pb2b,10200,Ninoxide,6,8,118,75,5,,0.80,15.8,20.8,16.0,20.9,-3.0,1.4,0.0,0.0,20.5,20.3,-1.8,-1.1,0.2,0.1,-0.4,-0.2,
1617velv-fl-pb2b,10743,TechGarage 3,7,6,115,60,5,,0.60,8.6,11.9,10.0,12.8,5.3,5.9,0.0,0.0,5.6,7.4,-1.2,-0.8,-1.0,-0.6,-0.4,-0.3,
1617velv-fl-pb2b,11799,Blazers Robotics 2,8,6,110,120,5,,0.60,6.6,12.2,6.7,12.3,10.9,12.3,0.0,0.0,-2.6,1.0,-1.9,-1.2,0.2,0.1,-0.2,-0.2,
1617velv-fl-pb2b,9207,Skynet,9,5,85,85,5,,0.50,8.4,12.4,6.0,10.6,-3.1,-0.3,0.0,0.0,4.0,6.4,5.3,4.5,2.3,1.7,0.2,0.1,
1617velv-fl-pb2b,10206,360 Degrees,10,5,76,50,5,,0.50,3.4,7.2,4.7,7.9,2.4,3.8,0.0,0.0,4.3,5.4,-2.3,-1.5,-1.1,-0.7,-0.3,-0.1,
1617velv-fl-pb2b,8844,Skeleton Albifacies,11,5,68,81,5,,0.50,11.9,16.5,11.4,16.2,-1.3,2.1,0.0,0.0,12.9,13.5,0.0,0.7,0.3,0.1,0.2,0.1,
1617velv-fl-pb2b,10688,ATL Eagles Robotics,12,4,75,75,5,,0.40,12.8,15.0,13.2,15.2,0.1,2.3,0.0,0.0,12.8,12.6,-0.2,0.0,-0.0,-0.0,-0.4,-0.2,
1617velv-fl-pb2b,11551,Robot Matrix,13,3,148,55,5,,0.30,14.9,15.9,16.5,16.9,5.9,5.7,0.0,0.0,-1.4,1.3,11.1,9.2,-0.7,-0.4,-0.9,-0.6,
1617velv-fl-pb2b,7625,Otus,14,3,110,75,5,,0.30,22.5,19.4,20.6,17.9,3.1,2.5,0.0,0.0,18.6,16.1,0.7,0.7,0.2,0.1,1.7,1.4,
1617velv-fl-pb2b,5158,T.I.T.A.N.S.,15,2,96,71,5,,0.20,11.8,14.0,9.3,12.2,2.0,3.3,0.0,0.0,9.5,10.1,0.0,0.4,0.4,0.2,2.1,1.7,
1617velv-fl-pb2b,8551,Relentless Robotics,16,1,136,36,5,,0.10,17.9,16.4,19.3,17.1,6.1,5.0,0.0,0.0,14.2,12.9,-1.6,-1.2,-0.7,-0.4,-0.6,-0.4,
1617velv-fl-pb2b,10744,TechGarage 4,17,1,110,35,5,,0.10,2.2,5.4,2.7,5.7,0.4,1.9,0.0,0.0,2.1,3.5,-0.1,-0.0,-0.2,-0.1,-0.3,-0.2,
1617velv-fl-pb2b,6568,Jedi Knights,18,1,80,35,5,,0.10,4.4,5.8,3.8,5.5,-0.1,0.7,0.0,0.0,1.6,2.6,2.5,2.3,0.4,0.2,0.3,0.1,
1617velv-fl-pb2b,9498,Robo Warriors,19,0,90,35,5,,0.00,9.9,10.2,9.3,9.9,2.2,2.4,0.0,0.0,7.0,7.3,0.3,0.2,0.3,0.2,0.3,0.1,
