TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-fl-rcc,4997,Masquerade,1,12,185,140,6,,1.00,39.9,40.0,40.4,40.3,15.3,14.7,0.0,0.0,20.5,20.3,4.0,4.9,0.1,0.1,-0.6,-0.4,
1617velv-fl-rcc,7719,Team RISE,2,9,205,85,6,,0.75,27.5,26.1,28.3,26.7,5.8,5.9,0.0,0.0,22.6,21.2,-0.4,-0.5,-0.5,-0.4,-0.2,-0.1,
1617velv-fl-rcc,4960,Stealth Tigers,3,9,188,125,6,,0.75,28.3,28.9,27.9,28.7,12.6,12.0,0.0,0.0,20.5,20.1,-4.9,-3.2,0.2,0.1,0.2,0.1,
1617velv-fl-rcc,7203,KNO3,4,8,197,195,6,,0.67,78.8,70.4,78.9,70.5,29.1,25.9,0.0,0.0,27.1,25.2,22.8,19.4,-0.2,-0.2,0.1,0.1,
1617velv-fl-rcc,3846,Maelstrom,5,8,158,102,6,,0.67,53.2,47.9,52.3,47.0,8.4,7.7,0.0,0.0,14.7,14.0,30.6,26.5,-0.5,-0.4,1.4,1.2,
1617velv-fl-rcc,2845,Team Duct Tape,6,7,249,100,6,,0.58,39.1,35.6,39.2,35.7,6.2,6.2,0.0,0.0,28.6,25.8,4.6,3.9,-0.2,-0.2,0.2,0.1,
1617velv-fl-rcc,4469,Hydra Beta,7,6,212,195,6,,0.50,46.7,43.6,46.6,43.6,24.3,21.8,0.0,0.0,19.2,18.5,3.3,3.5,-0.1,-0.1,0.2,0.1,
1617velv-fl-rcc,7017,Polk Overdrive,8,6,139,102,6,,0.50,26.6,25.7,24.6,24.1,6.6,6.3,0.0,0.0,17.5,16.7,2.2,2.6,0.3,0.2,1.7,1.4,
1617velv-fl-rcc,11429,The Mechanical Bulls,9,5,178,75,6,,0.42,25.8,25.1,25.7,25.0,8.3,8.0,0.0,0.0,14.3,13.7,2.9,3.1,0.3,0.2,-0.1,-0.1,
1617velv-fl-rcc,11619,14 Spicy Boiz,10,4,126,46,6,,0.33,0.0,3.8,0.8,4.3,-2.0,-0.5,0.0,0.0,4.6,5.7,-2.3,-1.3,-0.2,-0.2,-0.6,-0.4,
1617velv-fl-rcc,11434,JagWires,11,4,122,54,6,,0.33,-0.8,4.5,-0.3,4.9,-2.4,-0.8,0.0,0.0,7.9,9.5,-6.0,-4.0,-0.3,-0.2,-0.3,-0.2,
1617velv-fl-rcc,8387,Biohazardous,12,4,119,47,6,,0.33,2.7,4.7,2.8,4.8,0.3,1.0,0.0,0.0,1.8,3.4,0.7,0.3,-0.1,-0.0,-0.1,-0.1,
1617velv-fl-rcc,11710,RoboRaiders,13,4,86,91,6,,0.33,16.9,16.9,15.3,15.6,-0.8,0.1,0.0,0.0,13.3,12.7,2.7,2.7,1.6,1.4,-0.1,-0.1,
1617velv-fl-rcc,9175,Warrior Bots,14,2,187,65,6,,0.17,0.3,5.9,-1.3,4.6,-5.3,-3.3,0.0,0.0,1.9,4.5,2.0,3.3,1.7,1.4,-0.1,-0.1,
1617velv-fl-rcc,2425,Hydra Alpha,15,2,153,45,6,,0.17,-9.0,-2.2,-8.7,-1.9,-1.2,0.4,0.0,0.0,-2.1,1.1,-5.6,-3.6,-0.1,-0.1,-0.2,-0.2,
