TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-fl-rlcmp-Q-1,1,1,1,7719,11343,0,11710,8387,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,2,0,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-fl-rlcmp-Q-2,1,1,2,11619,11628,0,4960,11429,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,3,0,1,0,0,0,0,0,0,0,0,true,0,0,1,0,3,2,0,0,0,0,0,0,
1617velv-fl-rlcmp-Q-3,1,1,3,9175,6433,0,7017,2425,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,1,0,1,2,4,0,0,0,0,0,0,0,true,1,0,0,0,2,4,0,0,0,0,0,0,
1617velv-fl-rlcmp-Q-4,1,1,4,2845,7263,0,4997,7203,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,2,0,3,0,1,5,0,0,0,0,0,0,0,false,2,0,0,3,3,8,0,3,0,0,0,0,
1617velv-fl-rlcmp-Q-5,1,1,5,4469,9175,0,3846,7719,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,0,1,0,0,0,0,true,1,0,0,3,3,4,0,3,0,0,1,0,
1617velv-fl-rlcmp-Q-6,1,1,6,8387,2425,0,11619,7263,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,4,0,2,0,0,0,0,0,0,false,0,2,3,0,0,0,0,2,0,0,0,0,
1617velv-fl-rlcmp-Q-7,1,1,7,3846,7203,0,11429,7017,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,2,0,0,3,3,9,0,0,0,0,0,0,0,true,2,0,0,1,0,1,0,0,0,0,0,0,
1617velv-fl-rlcmp-Q-8,1,1,8,11628,4469,0,11710,2845,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,1,3,1,0,1,0,0,0,0,0,false,1,0,0,3,1,3,0,0,0,0,0,0,
1617velv-fl-rlcmp-Q-9,1,1,9,11343,4997,0,4960,6433,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,4,0,0,0,0,0,0,0,false,2,0,0,0,2,6,0,0,0,0,0,0,
1617velv-fl-rlcmp-Q-10,1,1,10,11429,7203,0,11710,2425,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,2,0,0,0,4,8,0,3,0,0,0,0,0,true,0,0,0,1,0,0,0,0,0,0,0,0,
