TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA0Pk,RA1Pk,BTBeac,BTCent,BTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA0Pk,BA1Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-fl-t1-Q-1,1,1,1,11020,10980,0,10650,6327,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,3,1,0,1,0,0,0,true,0,0,0,0,0,0,0,0,0,0,0,1,
1617velv-fl-t1-Q-2,1,1,2,11427,7826,0,9277,8601,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,3,1,3,4,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-fl-t1-Q-3,1,1,3,12273,8614,0,5937,10050,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,4,0,5,0,0,0,0,0,
1617velv-fl-t1-Q-4,1,1,4,9442,9930,0,3939,6090,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,0,0,3,0,0,0,0,0,0,false,0,0,0,0,0,0,1,0,0,0,0,0,
1617velv-fl-t1-Q-5,1,1,5,9444,6327,0,9779,10050,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,0,0,3,0,0,0,0,0,0,false,2,0,0,0,2,1,0,0,0,0,0,0,
1617velv-fl-t1-Q-6,1,1,6,10980,9442,0,9930,11427,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,3,0,0,0,5,0,0,0,0,0,0,true,0,0,0,0,4,1,0,0,0,0,0,0,
1617velv-fl-t1-Q-7,1,1,7,6090,9779,0,12273,9277,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,1,0,0,0,1,4,5,0,0,0,0,0,1,false,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-fl-t1-Q-8,1,1,8,9444,11020,0,7826,8614,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,2,0,1,0,0,4,0,0,0,0,0,0,
1617velv-fl-t1-Q-9,1,1,9,3939,5937,0,10650,8601,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,0,4,0,0,0,0,0,0,true,2,0,1,0,0,3,0,0,0,0,0,0,
1617velv-fl-t1-Q-10,1,1,10,11020,9930,0,12273,9442,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,2,0,1,0,0,0,0,0,0,true,0,0,0,0,1,0,4,1,0,0,0,0,
1617velv-fl-t1-Q-11,1,1,11,3939,9779,0,8614,11427,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,3,5,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-fl-t1-Q-12,1,1,12,10650,6090,0,6327,7826,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,3,0,0,1,0,0,0,0,true,2,0,3,1,2,5,0,0,0,0,1,0,
1617velv-fl-t1-Q-13,1,1,13,8601,10050,0,10980,9277,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,1,0,0,0,0,0,0,false,0,0,0,0,4,0,2,1,0,0,0,0,
1617velv-fl-t1-Q-14,1,1,14,9444,11427,0,5937,6090,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,2,0,0,0,0,0,0,0,0,false,0,0,0,0,1,0,3,0,0,0,0,0,
1617velv-fl-t1-Q-15,1,1,15,10650,10050,0,9779,9930,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,1,0,2,1,0,1,0,0,0,0,0,false,1,0,0,0,2,4,0,1,0,0,0,0,
1617velv-fl-t1-Q-16,1,1,16,7826,12273,0,3939,10980,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,1,0,0,2,0,1,0,0,0,0,0,true,0,0,0,0,4,0,6,0,0,0,0,0,
1617velv-fl-t1-Q-17,1,1,17,5937,9277,0,6327,11020,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,2,0,0,3,0,6,0,0,0,0,0,0,true,0,0,0,3,1,0,1,0,0,0,0,0,
1617velv-fl-t1-Q-18,1,1,18,8601,9442,0,8614,9444,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,2,0,0,0,0,0,0,false,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-fl-t1-Q-19,1,1,19,5937,7826,0,9930,10050,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,1,0,3,0,0,0,0,0,0,0,true,2,0,1,0,4,0,0,1,0,0,0,0,
1617velv-fl-t1-Q-20,1,1,20,6327,9277,0,9442,8614,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,2,0,0,0,0,0,
1617velv-fl-t1-Q-21,1,1,21,11427,12273,0,9444,10650,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,3,0,0,1,0,0,0,0,0,true,1,0,0,1,1,3,0,1,0,0,0,0,
1617velv-fl-t1-Q-22,1,1,22,8601,6090,0,9779,11020,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,1,0,0,0,4,5,1,0,0,0,0,0,
1617velv-fl-t1-Q-23,1,1,23,3939,9277,0,10980,9444,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,4,0,1,0,0,0,0,0,0,true,0,0,0,0,0,0,1,0,0,0,0,0,
