TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-fl-t1,9930,Robo-Knights,1,12,165,90,6,,1.00,27.9,26.8,29.9,28.1,6.9,6.8,0.0,0.0,17.9,16.9,3.5,3.2,-0.3,-0.2,-1.7,-1.2,
1617velv-fl-t1,9779,PIEaters,2,12,151,130,6,,1.00,64.1,57.6,66.3,59.2,27.7,25.2,0.0,0.0,35.6,31.6,0.8,0.8,0.1,-0.0,-2.3,-1.7,
1617velv-fl-t1,7826,Mini-Moose,3,10,144,130,6,,0.83,60.9,55.2,60.9,54.8,41.1,35.5,0.0,0.0,19.2,18.6,0.9,0.9,-0.4,0.0,0.3,0.2,
1617velv-fl-t1,10650,HazMat Robotics Biohazards,4,8,183,115,6,,0.67,47.8,42.3,39.3,34.8,17.5,15.6,0.0,0.0,18.0,16.0,4.2,3.7,8.2,6.9,0.4,0.5,
1617velv-fl-t1,11427,B^2,5,8,103,95,6,,0.67,22.6,22.2,18.4,18.8,2.9,3.7,0.0,0.0,16.0,15.2,0.2,0.4,3.5,2.9,0.6,0.4,
1617velv-fl-t1,9277,HazMat Robotics Explosives,6,8,90,60,6,,0.67,28.2,26.0,30.2,27.4,7.2,6.2,0.0,0.0,22.2,20.4,0.4,0.6,-1.7,-1.2,-0.3,-0.3,
1617velv-fl-t1,10050,Raccoon Robotics,7,6,149,90,6,,0.50,19.5,20.5,17.9,18.8,7.0,7.0,0.0,0.0,11.3,12.0,2.1,2.0,-0.9,-0.6,2.5,2.2,
1617velv-fl-t1,3939,Bolts of Steel,8,6,137,75,6,,0.50,19.2,20.1,17.2,18.1,-0.7,0.5,0.0,0.0,17.5,17.4,-0.8,-0.6,3.1,2.7,-1.1,-0.9,
1617velv-fl-t1,9444,FLA Tech 2.0,9,6,84,60,6,,0.50,5.7,7.7,11.9,12.1,4.2,4.1,0.0,0.0,4.2,5.4,0.6,0.6,-3.4,-2.4,-2.9,-2.1,
1617velv-fl-t1,6327,Fetch,10,6,79,100,6,,0.50,14.9,16.3,7.7,10.1,1.5,3.2,0.0,0.0,5.9,6.7,-0.8,-0.6,8.4,7.0,-1.1,-0.9,
1617velv-fl-t1,12273,Toxic Fire,11,4,195,60,6,,0.33,15.5,16.9,15.8,17.0,3.5,4.6,0.0,0.0,6.2,7.2,6.1,5.2,-0.3,-0.3,0.0,0.0,
1617velv-fl-t1,5937,Renaissance Robotics,12,4,156,55,6,,0.33,17.1,17.6,17.7,18.0,0.3,2.1,0.0,0.0,16.9,15.7,-0.3,-0.3,0.2,0.0,-0.8,-0.5,
1617velv-fl-t1,11020,Terminators,13,4,98,81,6,,0.33,3.9,6.8,-5.2,-1.1,-0.5,0.7,0.0,0.0,5.3,6.5,-0.1,0.2,-0.8,-0.6,9.9,8.4,
1617velv-fl-t1,10980,Cookiebytes,14,4,92,115,6,,0.33,25.2,24.5,18.7,18.7,5.6,6.0,0.0,0.0,14.5,14.0,4.3,3.8,0.7,0.6,5.8,5.0,
1617velv-fl-t1,8614,Olympia Robotic Titan,15,4,15,60,6,,0.33,0.5,2.9,-1.3,1.3,-2.6,-0.6,0.0,0.0,3.9,4.1,-1.2,-0.9,0.3,0.1,1.4,1.3,
1617velv-fl-t1,6090,Rock Star Robotics,16,2,90,110,6,,0.17,-0.3,3.3,-2.5,1.1,5.2,5.3,0.0,0.0,-3.6,-0.8,-0.3,-0.2,-1.6,-1.2,3.9,3.1,
1617velv-fl-t1,9442,Robo Royalty,17,2,67,29,6,,0.17,0.8,2.7,1.2,2.9,3.3,3.0,0.0,0.0,-2.5,-0.6,-0.3,0.1,0.2,0.2,-0.7,-0.6,
1617velv-fl-t1,8601,Godly Gears,18,2,62,55,6,,0.17,-7.2,-3.3,-4.3,-1.3,1.4,2.4,0.0,0.0,-5.6,-3.5,-0.9,-0.7,-2.1,-1.6,-0.8,-0.6,
