TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-fl-tlcmp-Q-1,Q-1,20-95 B,10650,7142,0,9930,5937,0,20,20,0,0,0,0,95,20,0,35,0,40,
1617velv-fl-tlcmp-Q-2,Q-2,35-50 B,8601,3939,0,9277,12151,0,35,5,0,30,0,0,50,40,0,10,0,0,
1617velv-fl-tlcmp-Q-3,Q-3,60-35 R,6327,12273,0,7579,10050,0,60,10,0,10,0,40,35,5,0,30,0,0,
1617velv-fl-tlcmp-Q-4,Q-4,0-155 B,6379,5070,0,8614,9779,0,0,0,0,0,0,0,155,100,0,55,0,0,
1617velv-fl-tlcmp-Q-5,Q-5,150-30 R,7826,9930,0,8601,6327,0,150,90,0,60,0,0,30,10,0,20,0,0,
1617velv-fl-tlcmp-Q-6,Q-6,25-70 B,10050,5937,0,6379,9277,0,25,0,0,25,0,0,70,30,0,40,0,0,
1617velv-fl-tlcmp-Q-7,Q-7,46-10 R,12273,7142,0,12151,5070,0,46,5,0,41,0,0,10,10,0,0,0,0,
1617velv-fl-tlcmp-Q-8,Q-8,65-20 R,7579,10650,0,8614,3939,0,65,25,0,40,0,0,20,10,0,10,0,0,
1617velv-fl-tlcmp-Q-9,Q-9,165-80 R,9779,10050,0,7826,7142,0,165,100,0,65,0,0,80,35,0,45,0,0,
1617velv-fl-tlcmp-Q-10,Q-10,20-41 B,6327,6379,0,12151,8601,0,20,10,0,10,0,0,41,10,0,31,0,0,
1617velv-fl-tlcmp-Q-11,Q-11,95-10 R,9779,7826,0,10650,3939,0,95,35,0,60,0,0,10,0,0,10,0,0,
1617velv-fl-tlcmp-Q-12,Q-12,140-15 R,9930,9277,0,7579,5070,0,140,40,0,50,10,40,15,5,0,10,0,0,
1617velv-fl-tlcmp-Q-13,Q-13,80-140 B,5937,8614,0,12273,7826,0,80,70,0,10,0,0,140,70,0,70,0,0,
1617velv-fl-tlcmp-Q-14,Q-14,20-20 T,6379,10650,0,7142,9277,0,20,0,0,20,0,0,20,0,0,20,0,0,
1617velv-fl-tlcmp-Q-15,Q-15,25-85 B,12151,8614,0,9930,10050,0,25,5,0,20,0,0,85,65,0,20,0,0,
1617velv-fl-tlcmp-Q-16,Q-16,45-70 B,5070,5937,0,3939,6327,0,45,35,0,10,0,0,70,0,0,30,0,40,
1617velv-fl-tlcmp-Q-17,Q-17,25-135 B,12273,7579,0,9779,8601,0,25,5,0,20,0,0,135,70,0,65,0,0,
1617velv-fl-tlcmp-Q-18,Q-18,40-21 R,9277,6327,0,8614,7142,0,40,10,0,30,0,0,21,10,0,11,0,0,
1617velv-fl-tlcmp-Q-19,Q-19,65-75 B,7579,12151,0,7826,5937,0,65,5,0,10,10,40,75,0,0,75,0,0,
1617velv-fl-tlcmp-Q-20,Q-20,35-55 B,8601,5070,0,10050,10650,0,35,15,0,20,0,0,55,15,0,40,0,0,
1617velv-fl-tlcmp-Q-21,Q-21,70-31 R,9930,3939,0,12273,6379,0,70,40,0,20,10,0,31,10,0,21,0,0,
1617velv-fl-tlcmp-Q-22,Q-22,70-70 T,9779,12151,0,6327,10650,0,70,45,0,25,0,0,70,45,0,25,0,0,
1617velv-fl-tlcmp-SF-1-1,SF-1-1,135-35 R,9930,7826,0,10050,5937,0,135,75,0,50,10,0,35,30,0,5,0,0,
1617velv-fl-tlcmp-SF-2-1,SF-2-1,70-115 B,9779,9277,0,6327,10650,0,70,30,0,40,0,0,115,75,0,40,0,0,
1617velv-fl-tlcmp-SF-1-2,SF-1-2,130-30 R,9930,7826,0,10050,5937,0,130,75,0,55,0,0,30,30,0,0,0,0,
1617velv-fl-tlcmp-SF-2-2,SF-2-2,125-80 R,9779,9277,0,6327,10650,0,125,65,0,60,0,0,80,45,0,35,0,0,
1617velv-fl-tlcmp-SF-2-3,SF-2-3,120-65 R,9779,9277,0,6327,10650,0,120,65,0,55,0,0,65,30,0,35,0,0,
1617velv-fl-tlcmp-F-1,F-1,115-125 B,9930,7826,0,9779,9277,0,115,75,0,40,0,0,125,70,0,55,0,0,
1617velv-fl-tlcmp-F-2,F-2,110-130 B,9930,7826,0,9779,9277,0,110,75,0,25,10,0,130,70,0,60,0,0,
