TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-flne1,4717,Mechromancers,1,10,247,235,5,,
1617velv-flne1,11774,Palatka High School Robo-Panthers,2,10,123,160,5,,
1617velv-flne1,10497,SwampBots,3,9,275,235,5,,
1617velv-flne1,9938,Baldwin Middle/Senior,4,8,177,140,5,,
1617velv-flne1,10168,LJH Gator Techs,5,8,148,106,5,,
1617velv-flne1,10179,Tech Turtles,6,7,219,90,5,,
1617velv-flne1,11892,Hilliard High School Flashes,7,7,205,80,5,,
1617velv-flne1,9944,SATURN,8,6,276,106,5,,
1617velv-flne1,4227,Metal Morphosis,9,4,270,80,5,,
1617velv-flne1,10385,RoboTech Warriors,10,4,268,76,5,,
1617velv-flne1,12102,Patriot Programmers,11,4,173,175,5,,
1617velv-flne1,9937,Gamma Rays Atlantic Coast High,12,4,161,90,5,,
1617velv-flne1,10167,Green Cove Springs Junior High,13,4,116,76,5,,
1617velv-flne1,10013,Master Builders,14,4,116,71,5,,
1617velv-flne1,10768,Middleburg High School,15,4,105,75,5,,
1617velv-flne1,11593,Brainstormers,16,2,211,76,5,,
1617velv-flne1,10583,The Robotic Gladiators,17,2,206,70,5,,
1617velv-flne1,11465,Fort White Indibots,18,2,199,82,5,,
1617velv-flne1,10276,talknerdytome,19,2,136,71,5,,
1617velv-flne1,9075,The Funky Bunch,20,2,133,96,5,,
1617velv-flne1,9435,Mechanical Eagles,21,2,132,55,5,,
