TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-flpb2a,11800,TechGarage5,1,8,68,55,5,,0.80,15.8,15.4,15.9,15.4,2.0,1.8,0.0,0.0,13.0,12.6,0.6,0.7,0.2,0.1,-0.3,-0.2,
1617velv-flpb2a,11599,Westgate 1,2,8,50,55,5,,0.80,22.5,20.7,22.8,20.9,2.4,2.4,0.0,0.0,19.2,17.2,1.2,1.1,-0.3,-0.2,-0.1,-0.1,
1617velv-flpb2a,11596,Cuda,3,6,76,31,5,,0.60,11.6,11.5,9.2,9.6,-0.3,0.1,0.0,0.0,12.0,11.3,-0.5,-0.3,0.4,0.2,1.9,1.6,
1617velv-flpb2a,11601,Westgate 3,4,6,72,31,5,,0.60,8.8,9.3,8.4,9.0,-0.2,0.0,0.0,0.0,7.8,8.2,0.9,0.8,0.2,0.1,0.2,0.1,
1617velv-flpb2a,10746,Tech Garage 6,5,6,58,50,5,,0.60,18.0,17.0,18.6,17.3,7.3,6.3,0.0,0.0,10.4,10.5,0.5,0.2,-0.2,-0.2,-0.4,-0.3,
1617velv-flpb2a,11602,Westgate 4,6,6,54,45,5,,0.60,13.1,12.9,14.2,13.5,1.4,1.3,0.0,0.0,8.5,8.6,3.9,3.1,-0.6,-0.4,-0.5,-0.3,
1617velv-flpb2a,11605,Cabana 2,7,6,50,35,5,,0.60,8.0,9.0,6.7,7.7,0.5,0.6,0.0,0.0,9.0,9.3,-1.0,-0.8,-0.5,-0.3,1.9,1.5,
1617velv-flpb2a,10606,Tech Garage,8,6,42,50,5,,0.60,23.7,21.9,21.3,20.0,5.5,5.1,0.0,0.0,18.0,16.1,-1.8,-1.1,2.0,1.6,0.4,0.2,
1617velv-flpb2a,11798,TechGarage3,9,6,42,45,5,,0.60,16.1,15.4,16.4,15.5,-0.3,-0.0,0.0,0.0,16.5,15.0,0.2,0.5,-0.4,-0.3,0.1,0.0,
1617velv-flpb2a,11797,TechGarage2,10,6,41,50,5,,0.60,15.3,14.6,16.2,15.0,0.5,0.5,0.0,0.0,14.8,14.0,0.4,0.1,-0.4,-0.2,-0.5,-0.3,
1617velv-flpb2a,11604,Cabana 1,11,4,70,55,5,,0.40,17.4,16.8,15.9,15.4,4.0,3.5,0.0,0.0,7.0,8.0,4.5,3.5,1.9,1.6,-0.4,-0.3,
1617velv-flpb2a,11597,Mechanical Owls,12,4,63,31,5,,0.40,2.6,4.5,3.1,4.8,1.7,1.8,0.0,0.0,2.4,3.5,-1.2,-0.7,-0.4,-0.3,-0.2,-0.1,
1617velv-flpb2a,12228,CATS2,13,4,58,55,5,,0.40,14.6,13.8,14.4,13.6,1.0,1.0,0.0,0.0,11.7,11.2,1.8,1.4,0.1,0.0,0.1,0.1,
1617velv-flpb2a,12249,Minjas,14,2,52,35,5,,0.20,2.9,4.6,3.4,4.7,4.2,3.9,0.0,0.0,-0.6,1.0,-0.2,-0.2,-0.5,-0.3,0.0,0.0,
1617velv-flpb2a,12226,CATS FTC 1,15,2,46,30,5,,0.20,3.5,4.6,3.7,4.7,-0.8,-0.5,0.0,0.0,4.7,5.2,-0.6,-0.5,0.2,0.1,-0.4,-0.3,
1617velv-flpb2a,11600,Westgate 2,16,0,54,20,5,,0.00,0.6,2.3,0.0,1.9,1.0,1.0,0.0,0.0,-2.0,-0.2,1.3,1.2,0.3,0.2,0.3,0.1,
