TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-flpbl1b-Q-1,Q-1,41-20 R,11798,11800,0,10606,12249,0,41,20,
1617velv-flpbl1b-Q-2,Q-2,10-30 B,11797,11600,0,11596,11599,0,10,30,
1617velv-flpbl1b-Q-3,Q-3,10-10 T,11601,11604,0,11597,11605,0,10,10,
1617velv-flpbl1b-Q-4,Q-4,40-20 R,11599,11797,0,10746,10606,0,40,20,
1617velv-flpbl1b-Q-5,Q-5,27-0 R,11600,12249,0,11604,11605,0,27,0,
1617velv-flpbl1b-Q-6,Q-6,10-56 B,11597,10746,0,11800,11596,0,10,56,
1617velv-flpbl1b-Q-7,Q-7,60-12 R,11798,10606,0,11601,11600,0,60,12,
1617velv-flpbl1b-Q-8,Q-8,20-41 B,11797,11605,0,11597,11800,0,20,41,
1617velv-flpbl1b-Q-9,Q-9,10-30 B,11798,11604,0,11599,10746,0,10,30,
1617velv-flpbl1b-Q-10,Q-10,50-0 R,11601,11596,0,12249,11797,0,50,0,
1617velv-flpbl1b-Q-11,Q-11,0-20 B,11605,11599,0,11597,11798,0,0,20,
1617velv-flpbl1b-Q-12,Q-12,55-15 R,11800,10606,0,11596,11604,0,55,15,
1617velv-flpbl1b-Q-13,Q-13,32-10 R,10746,11600,0,12249,11601,0,32,10,
1617velv-flpbl1b-Q-14,Q-14,30-20 R,11797,11596,0,11798,11605,0,30,20,
1617velv-flpbl1b-Q-15,Q-15,45-20 R,10746,12249,0,11597,10606,0,45,20,
1617velv-flpbl1b-Q-16,Q-16,46-1 R,11601,11800,0,11599,11600,0,46,1,
1617velv-flpbl1b-Q-17,Q-17,1-40 B,11604,11597,0,11797,11798,0,1,40,
