TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-flpbl21,11800,TechGarage5,1,8,68,55,5,,
1617velv-flpbl21,11599,Westgate 1,2,8,50,55,5,,
1617velv-flpbl21,11596,Cuda,3,6,86,31,5,,
1617velv-flpbl21,11601,Westgate 3,4,6,72,31,5,,
1617velv-flpbl21,11605,Cabana 2,5,6,60,35,5,,
1617velv-flpbl21,10746,Tech Garage 6,6,6,58,50,5,,
1617velv-flpbl21,11602,Westgate 4,7,6,54,45,5,,
1617velv-flpbl21,10606,Tech Garage,8,6,52,50,5,,
1617velv-flpbl21,11798,TechGarage3,9,6,42,45,5,,
1617velv-flpbl21,11797,TechGarage2,10,6,41,50,5,,
1617velv-flpbl21,11604,Cabana 1,11,4,80,55,5,,
1617velv-flpbl21,11597,Mechanical Owls,12,4,63,31,5,,
1617velv-flpbl21,12228,CATS2,13,4,58,55,5,,
1617velv-flpbl21,12249,Minjas,14,2,52,35,5,,
1617velv-flpbl21,12226,CATS FTC 1,15,2,46,30,5,,
1617velv-flpbl21,11600,Westgate 2,16,0,54,20,5,,
