TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-flpg,8908,Robo Mojo,1,12,335,155,6,,1.00,91.1,82.6,
1617velv-flpg,10345,Royal Blue,2,9,370,100,6,,0.75,59.6,54.7,
1617velv-flpg,506,Pandara,3,9,360,130,6,,0.75,70.6,65.7,
1617velv-flpg,7321,Charlotte Surge,4,8,295,100,6,,0.67,38.2,38.0,
1617velv-flpg,409,Aluminati,5,8,245,155,6,,0.67,34.8,35.6,
1617velv-flpg,9762,Radio Active,6,6,345,130,7,,0.43,28.6,29.7,
1617velv-flpg,516,Gears of Fire,7,6,185,115,7,,0.43,11.8,14.7,
1617velv-flpg,6324,Twisted Circuitz,8,5,200,100,6,,0.42,14.1,16.8,
1617velv-flpg,7524,Eisenschrek,9,4,300,75,6,,0.33,17.5,20.6,
1617velv-flpg,7650,The Circuit Breakers,10,4,290,115,6,,0.33,25.9,27.4,
1617velv-flpg,499,NanoFusion,11,4,260,130,6,,0.33,31.9,32.7,
1617velv-flpg,3736,Serious Business,12,4,220,100,6,,0.33,18.3,20.5,
1617velv-flpg,3101,Boom Bots,13,1,315,100,6,,0.08,19.1,21.5,
