TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-flrlkp-Q-1,Q-1,15-165 B,11434,10204,0,7203,8387,0,15,165,
1617velv-flrlkp-Q-1,Q-1,185-105 R,7203,7719,0,2845,4960,0,185,105,
1617velv-flrlkp-Q-2,Q-2,155-15 R,7203,7719,0,2845,4960,0,155,15,
1617velv-flrlkp-Q-2,Q-2,45-10 R,9175,7017,0,7263,11710,0,45,10,
1617velv-flrlkp-Q-3,Q-3,0-35 B,11628,11343,0,4469,11429,0,0,35,
1617velv-flrlkp-Q-4,Q-4,45-65 B,2425,7719,0,2845,4960,0,45,65,
1617velv-flrlkp-Q-5,Q-5,0-62 B,11619,4469,0,11434,7017,0,0,62,
1617velv-flrlkp-Q-6,Q-6,195-40 R,7203,9175,0,2845,11343,0,195,40,
1617velv-flrlkp-Q-7,Q-7,30-15 R,8387,4960,0,7263,11429,0,30,15,
1617velv-flrlkp-Q-8,Q-8,10-40 B,11710,10204,0,2425,11619,0,10,40,
1617velv-flrlkp-Q-9,Q-9,50-5 R,11628,7017,0,7719,8387,0,50,5,
1617velv-flrlkp-Q-10,Q-10,20-75 B,4960,11619,0,4469,11343,0,20,75,
1617velv-flrlkp-Q-11,Q-11,55-50 R,11429,7719,0,9175,10204,0,55,50,
1617velv-flrlkp-Q-12,Q-12,75-22 R,2845,2425,0,7263,11434,0,75,22,
1617velv-flrlkp-Q-13,Q-13,130-30 R,7203,11710,0,11628,4960,0,130,30,
1617velv-flrlkp-Q-14,Q-14,30-40 B,11429,11343,0,2425,7017,0,30,40,
1617velv-flrlkp-Q-15,Q-15,65-150 B,7719,7263,0,11619,7203,0,65,150,
1617velv-flrlkp-Q-16,Q-16,11-40 B,9175,11434,0,11628,10204,0,11,40,
1617velv-flrlkp-Q-17,Q-17,60-20 R,2845,4469,0,11710,8387,0,60,20,
1617velv-flrlkp-Q-18,Q-18,40-15 R,4960,9175,0,11619,11434,0,40,15,
1617velv-flrlkp-Q-19,Q-19,180-40 R,7203,11429,0,11710,4469,0,180,40,
1617velv-flrlkp-Q-20,Q-20,65-40 R,2845,10204,0,7017,11343,0,65,40,
1617velv-flrlkp-Q-21,Q-21,80-30 R,2425,7263,0,7719,11628,0,80,30,
1617velv-flrlkp-Q-22,Q-22,60-180 B,8387,7017,0,7203,4960,0,60,180,
1617velv-flrlkp-Q-23,Q-23,10-48 B,11710,11343,0,11434,7719,0,10,48,
1617velv-flrlkp-Q-24,Q-24,30-62 B,4469,8387,0,2425,9175,0,30,62,
1617velv-flrlkp-Q-25,Q-25,50-45 R,11619,2845,0,11429,11628,0,50,45,
1617velv-flrlkp-Q-26,Q-26,30-20 R,7263,4960,0,10204,4469,0,30,20,
