TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-flrlkp,7203,KNO3,1,18,370,195,9,,
1617velv-flrlkp,2845,Team Duct Tape,2,12,332,105,9,,
1617velv-flrlkp,4960,Stealth Tigers,3,12,325,180,10,,
1617velv-flrlkp,7719,Team RISE,4,10,325,185,9,,
1617velv-flrlkp,2425,Hydra Alpha,5,10,167,80,7,,
1617velv-flrlkp,9175,Warrior Bots,6,8,156,195,6,,
1617velv-flrlkp,7017,Polk Overdrive,7,8,145,62,7,,
1617velv-flrlkp,11429,The Mechanical Bulls,8,6,180,180,6,,
1617velv-flrlkp,11619,14 Spicy Boiz,9,6,155,150,6,,
1617velv-flrlkp,4469,Hydra Beta,10,6,130,75,7,,
1617velv-flrlkp,7263,The Knights of Cavalry,11,4,162,80,6,,
1617velv-flrlkp,10204,Robotic Bacon Eating Narwhals,12,4,146,65,6,,
1617velv-flrlkp,8387,Biohazardous,13,4,145,165,6,,
1617velv-flrlkp,11628,Coding Hope,14,4,121,50,6,,
1617velv-flrlkp,11434,JagWires,15,4,73,62,6,,
1617velv-flrlkp,11343,CDS Patriot Bots,16,2,140,75,6,,
1617velv-flrlkp,11710,RoboRaiders,17,2,120,130,6,,
