TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-flrlkp,7203,KNO3,1,16,370,195,8,,1.00,153.5,135.8,
1617velv-flrlkp,2845,Team Duct Tape,2,10,332,105,8,,0.63,41.9,39.0,
1617velv-flrlkp,4960,Stealth Tigers,3,10,325,180,9,,0.56,19.0,21.1,
1617velv-flrlkp,2425,Hydra Alpha,4,10,167,80,6,,0.83,34.0,31.8,
1617velv-flrlkp,7719,Team RISE,5,8,325,185,8,,0.50,21.8,25.8,
1617velv-flrlkp,9175,Warrior Bots,6,8,156,195,6,,0.67,23.1,26.3,
1617velv-flrlkp,7017,Polk Overdrive,7,8,145,62,6,,0.67,32.6,30.8,
1617velv-flrlkp,11429,The Mechanical Bulls,8,6,180,180,6,,0.50,19.6,22.8,
1617velv-flrlkp,11619,14 Spicy Boiz,9,6,155,150,6,,0.50,-1.2,6.1,
1617velv-flrlkp,4469,Hydra Beta,10,6,130,75,7,,0.43,23.6,21.6,
1617velv-flrlkp,7263,The Knights of Cavalry,11,4,162,80,6,,0.33,19.9,19.1,
1617velv-flrlkp,10204,Robotic Bacon Eating Narwhals,12,4,146,65,6,,0.33,15.1,16.1,
1617velv-flrlkp,8387,Biohazardous,13,4,145,165,6,,0.33,10.3,14.1,
1617velv-flrlkp,11628,Coding Hope,14,4,121,50,6,,0.33,12.6,13.3,
1617velv-flrlkp,11434,JagWires,15,4,73,62,6,,0.33,10.3,11.0,
1617velv-flrlkp,11343,CDS Patriot Bots,16,2,140,75,6,,0.17,11.2,13.1,
1617velv-flrlkp,11710,RoboRaiders,17,2,120,130,6,,0.17,-2.3,4.0,
