TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-flsc1,7477,Super 7,1,10,240,285,5,,1.00,139.0,116.8,117.7,99.3,77.3,64.0,0.0,0.0,41.3,36.0,-1.2,-0.8,21.6,17.5,-0.4,-0.2,
1617velv-flsc1,12090,DEN IN BLACK,2,8,160,80,5,,0.80,1.1,10.9,16.6,20.7,6.2,8.6,0.0,0.0,3.5,7.6,1.5,1.3,-10.1,-6.6,-5.4,-3.3,
1617velv-flsc1,7592,Roarbots,3,8,146,125,5,,0.80,7.5,15.0,13.8,18.9,-7.3,-1.5,0.0,0.0,18.8,18.8,1.1,1.0,-5.1,-3.4,-1.1,-0.7,
1617velv-flsc1,8996,Pink Fluffy Bunnies,4,8,126,80,5,,0.80,52.6,45.7,26.6,25.9,10.4,10.1,0.0,0.0,38.2,33.1,1.5,1.2,2.5,1.2,23.4,18.5,
1617velv-flsc1,4717,Mechromancers,5,8,120,285,5,,0.80,61.8,55.4,26.2,27.8,11.1,12.1,0.0,0.0,18.5,17.2,1.6,1.3,30.7,24.7,4.9,2.8,
1617velv-flsc1,6323,The Pink Team,6,6,180,90,5,,0.60,40.6,36.9,32.7,32.4,-4.0,-1.1,0.0,0.0,41.1,36.0,0.3,0.1,3.2,1.8,4.7,2.6,
1617velv-flsc1,4227,Metal Morphosis,7,6,171,80,5,,0.60,50.1,42.8,47.3,40.7,24.9,20.1,0.0,0.0,23.7,21.7,-0.5,-0.4,2.0,1.3,0.8,0.7,
1617velv-flsc1,11355,Neil Team Six,8,6,160,101,5,,0.60,44.6,42.5,54.5,48.0,19.2,16.9,0.0,0.0,27.7,26.5,-0.7,-0.5,-1.6,-0.5,-8.3,-5.1,
1617velv-flsc1,10347,General Tech,9,6,81,80,5,,0.60,12.8,15.4,12.5,13.6,-2.0,-0.9,0.0,0.0,7.8,9.6,3.3,2.8,3.7,3.8,-3.4,-2.2,
1617velv-flsc1,10179,Tech Turtles,10,4,135,160,5,,0.40,28.5,29.9,21.1,24.2,16.9,17.4,0.0,0.0,11.4,12.2,1.9,1.5,-1.8,-1.4,9.1,7.0,
1617velv-flsc1,10379,General Mission,11,4,110,90,5,,0.40,6.8,11.5,23.3,22.1,6.6,6.3,0.0,0.0,8.4,10.5,-1.4,-1.0,-6.8,-4.4,-9.7,-6.3,
1617velv-flsc1,8392,Lift-Off!,12,4,60,140,5,,0.40,-3.8,5.3,13.6,16.3,1.6,4.7,0.0,0.0,6.5,8.2,-0.1,-0.1,-11.8,-7.5,-5.6,-3.5,
1617velv-flsc1,9013,Merritt Island Matrix,13,4,45,50,5,,0.40,7.2,7.4,7.4,7.4,4.4,3.6,0.0,0.0,1.8,2.8,0.8,0.8,0.2,0.1,-0.5,-0.2,
1617velv-flsc1,11681,BANANAS,14,2,112,45,5,,0.20,11.8,12.5,-10.1,-5.6,3.2,3.6,0.0,0.0,6.2,7.3,0.0,-0.0,2.4,1.6,19.6,16.5,
1617velv-flsc1,8945,Touch-Down!,15,0,141,65,5,,0.00,6.2,9.6,5.7,9.7,7.3,8.5,0.0,0.0,-3.0,-0.1,0.1,0.0,1.8,1.0,-1.2,-1.2,
1617velv-flsc1,7341,F.R.E.N.C.H. F.R.I.E.S.,16,0,136,75,5,,0.00,10.2,10.8,2.4,4.9,3.2,3.7,0.0,0.0,4.6,5.7,-0.2,-0.1,2.5,1.4,5.2,4.4,
1617velv-flsc1,9800,HyperNovas,17,0,130,55,5,,0.00,4.2,8.0,4.7,8.0,-2.0,0.0,0.0,0.0,6.1,7.7,-0.4,-0.3,0.4,0.5,-1.0,-0.5,
