TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-flsf2-Q-1,Q-1,50-24 R,5125,11199,0,10130,11650,0,50,24,
1617velv-flsf2-Q-2,Q-2,125-70 R,11204,10830,0,6322,619,0,125,70,
1617velv-flsf2-Q-3,Q-3,140-0 R,9987,10087,0,9986,10022,0,140,0,
1617velv-flsf2-Q-4,Q-4,0-44 B,6321,7318,0,7029,10366,0,0,44,
1617velv-flsf2-Q-5,Q-5,10-145 B,11910,3888,0,10088,9110,0,10,145,
1617velv-flsf2-Q-6,Q-6,15-40 B,5442,5125,0,6321,10830,0,15,40,
1617velv-flsf2-Q-7,Q-7,32-95 B,7318,3888,0,11204,10087,0,32,95,
1617velv-flsf2-Q-8,Q-8,120-100 R,10022,9110,0,10130,619,0,120,100,
1617velv-flsf2-Q-9,Q-9,70-30 R,10366,11650,0,11910,5442,0,70,30,
1617velv-flsf2-Q-10,Q-10,40-105 B,9986,11199,0,10088,6322,0,40,105,
1617velv-flsf2-Q-11,Q-11,50-95 B,7029,619,0,9987,5125,0,50,95,
1617velv-flsf2-Q-12,Q-12,55-105 B,11910,9110,0,11199,10087,0,55,105,
1617velv-flsf2-Q-13,Q-13,35-91 B,10130,6322,0,7318,9987,0,35,91,
1617velv-flsf2-Q-14,Q-14,55-42 R,10088,7029,0,11650,10830,0,55,42,
1617velv-flsf2-Q-15,Q-15,11-40 B,5442,10366,0,10022,11204,0,11,40,
1617velv-flsf2-Q-16,Q-16,110-10 R,3888,6321,0,9986,10130,0,110,10,
1617velv-flsf2-Q-17,Q-17,75-31 R,6322,10022,0,7029,11910,0,75,31,
1617velv-flsf2-Q-18,Q-18,120-60 R,5125,10830,0,10366,10087,0,120,60,
1617velv-flsf2-Q-19,Q-19,35-46 B,9987,11199,0,3888,5442,0,35,46,
1617velv-flsf2-Q-20,Q-20,62-40 R,619,11650,0,9986,7318,0,62,40,
1617velv-flsf2-Q-21,Q-21,60-25 R,11204,10088,0,6321,9110,0,60,25,
1617velv-flsf2-Q-22,Q-22,155-105 R,7318,10830,0,11199,10022,0,155,105,
1617velv-flsf2-Q-23,Q-23,23-80 B,7029,9986,0,9110,5442,0,23,80,
1617velv-flsf2-Q-24,Q-24,61-45 R,10366,619,0,10088,3888,0,61,45,
1617velv-flsf2-Q-25,Q-25,50-35 R,9987,11204,0,11910,5125,0,50,35,
1617velv-flsf2-Q-26,Q-26,95-20 R,6322,10087,0,6321,11650,0,95,20,
1617velv-flsf2-Q-27,Q-27,75-16 R,10130,11199,0,7029,11204,0,75,16,
1617velv-flsf2-Q-28,Q-28,75-90 B,5442,10088,0,10087,7318,0,75,90,
1617velv-flsf2-Q-29,Q-29,25-65 B,9986,11910,0,10830,10130,0,25,65,
1617velv-flsf2-Q-30,Q-30,120-10 R,11650,9110,0,9987,10366,0,120,10,
1617velv-flsf2-Q-31,Q-31,50-65 B,10022,3888,0,6322,5125,0,50,65,
1617velv-flsf2-Q-32,Q-32,105-65 R,619,11910,0,6321,11199,0,105,65,
