TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-flsflpr,10087,FatherBoards,1,12,150,140,6,,1.00,77.4,69.0,
1617velv-flsflpr,9110,WiredCats Junior,2,10,215,140,6,,0.83,58.8,54.0,
1617velv-flsflpr,10830,RoboPanthers2000,3,10,152,70,6,,0.83,28.8,27.4,
1617velv-flsflpr,6322,WiredCats,4,10,145,125,6,,0.83,45.6,41.5,
1617velv-flsflpr,3888,Greased Lightning,5,9,102,110,6,,0.75,30.3,29.6,
1617velv-flsflpr,10130,Crown Joules,6,7,135,80,6,,0.58,17.7,19.0,
1617velv-flsflpr,11910,REEF ROBOTICS 2,7,7,110,80,6,,0.58,7.5,10.6,
1617velv-flsflpr,5125,Raiderbots,8,6,165,70,6,,0.50,13.5,15.0,
1617velv-flsflpr,10366,WiredCats Future,9,6,150,65,6,,0.50,12.3,13.8,
1617velv-flsflpr,11204,Shark-A-Tech,10,6,145,75,6,,0.50,31.2,28.7,
1617velv-flsflpr,9986,EagleBotics Navy,11,6,130,60,6,,0.50,13.9,15.1,
1617velv-flsflpr,619,Mecha Makos,12,6,110,85,6,,0.50,20.7,21.8,
1617velv-flsflpr,10088,SharkBeta,13,5,170,130,6,,0.42,17.9,19.7,
1617velv-flsflpr,7029,Bosco's Bots,14,4,132,115,6,,0.33,13.7,13.8,
1617velv-flsflpr,7318,Phoenix Gears,15,4,125,55,6,,0.33,15.9,15.1,
1617velv-flsflpr,6321,Robo Raiders,16,4,105,65,6,,0.33,-0.3,3.5,
1617velv-flsflpr,9987,EagleBotics Gold,17,4,100,40,6,,0.33,0.3,3.1,
1617velv-flsflpr,10022,WiredCats Girls,18,2,155,45,6,,0.17,17.4,16.7,
1617velv-flsflpr,11199,Forge,19,2,72,50,6,,0.17,-1.0,2.6,
1617velv-flsflpr,5442,Half LIFE TERRA,20,0,60,20,6,,0.00,1.2,2.5,
