TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-flt1-Q-1,Q-1,18-45 B,11020,10980,0,10650,6327,0,18,5,0,3,10,0,45,5,0,0,0,40,
1617velv-flt1-Q-2,Q-2,95-0 R,11427,7826,0,9277,8601,0,95,45,0,50,0,0,0,0,0,0,0,0,
1617velv-flt1-Q-3,Q-3,0-45 B,12273,8614,0,5937,10050,0,0,0,0,0,0,0,45,0,0,45,0,0,
1617velv-flt1-Q-4,Q-4,18-1 R,9442,9930,0,3939,6090,0,18,15,0,3,0,0,1,0,0,1,0,0,
1617velv-flt1-Q-5,Q-5,13-55 B,9444,6327,0,9779,10050,0,13,10,0,3,0,0,55,30,0,25,0,0,
1617velv-flt1-Q-6,Q-6,15-50 B,10980,9442,0,9930,11427,0,15,10,0,5,0,0,50,5,0,45,0,0,
1617velv-flt1-Q-7,Q-7,110-60 R,6090,9779,0,12273,9277,0,110,75,0,35,0,0,60,30,0,30,0,0,
1617velv-flt1-Q-8,Q-8,5-60 B,9444,11020,0,7826,8614,0,5,5,0,0,0,0,60,40,0,20,0,0,
1617velv-flt1-Q-9,Q-9,49-55 B,3939,5937,0,10650,8601,0,49,5,0,44,0,0,55,40,0,15,0,0,
1617velv-flt1-Q-10,Q-10,31-29 R,11020,9930,0,12273,9442,0,31,10,0,21,0,0,29,5,0,14,10,0,
1617velv-flt1-Q-11,Q-11,75-5 R,3939,9779,0,8614,11427,0,75,20,0,55,0,0,5,5,0,0,0,0,
1617velv-flt1-Q-12,Q-12,15-100 B,10650,6090,0,6327,7826,0,15,0,0,15,0,0,100,45,0,45,0,10,
1617velv-flt1-Q-13,Q-13,1-52 B,8601,10050,0,10980,9277,0,1,0,0,1,0,0,52,0,0,42,10,0,
1617velv-flt1-Q-14,Q-14,25-13 R,9444,11427,0,5937,6090,0,25,5,0,20,0,0,13,0,0,13,0,0,
1617velv-flt1-Q-15,Q-15,55-65 B,10650,10050,0,9779,9930,0,55,20,0,25,10,0,65,15,0,40,10,0,
1617velv-flt1-Q-16,Q-16,60-51 R,7826,12273,0,3939,10980,0,60,40,0,10,10,0,51,5,0,46,0,0,
1617velv-flt1-Q-17,Q-17,51-21 R,5937,9277,0,6327,11020,0,51,15,0,36,0,0,21,10,0,11,0,0,
1617velv-flt1-Q-18,Q-18,2-40 B,8601,9442,0,8614,9444,0,2,0,0,2,0,0,40,0,0,40,0,0,
1617velv-flt1-Q-19,Q-19,55-90 B,5937,7826,0,9930,10050,0,55,40,0,15,0,0,90,40,0,40,10,0,
1617velv-flt1-Q-20,Q-20,40-2 R,6327,9277,0,9442,8614,0,40,0,0,40,0,0,2,0,0,2,0,0,
1617velv-flt1-Q-21,Q-21,45-60 B,11427,12273,0,9444,10650,0,45,5,0,30,10,0,60,25,0,25,10,0,
1617velv-flt1-Q-22,Q-22,0-81 B,8601,6090,0,9779,11020,0,0,0,0,0,0,0,81,15,0,66,0,0,
1617velv-flt1-Q-23,Q-23,51-6 R,3939,9277,0,10980,9444,0,51,10,0,41,0,0,6,5,0,1,0,0,
1617velv-flt1-Q-24,Q-24,130-18 R,9779,7826,0,5937,9442,0,130,70,0,60,0,0,18,5,0,13,0,0,
1617velv-flt1-Q-25,Q-25,25-45 B,10050,11020,0,3939,11427,0,25,5,0,20,0,0,45,5,0,20,0,20,
1617velv-flt1-Q-26,Q-26,10-40 B,6327,8601,0,9930,12273,0,10,10,0,0,0,0,40,0,0,30,10,0,
1617velv-flt1-Q-27,Q-27,1-115 B,6090,8614,0,10980,10650,0,1,0,0,1,0,0,115,40,0,55,10,10,
