TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-flt3,7826,Mini-Moose,1,10,309,165,6,,0.83,77.3,68.9,67.8,60.2,41.0,36.8,0.0,0.0,37.6,32.7,-1.1,-0.8,-0.2,0.1,9.7,8.5,
1617velv-flt3,9779,PIEaters,2,8,290,145,6,,0.67,63.8,58.2,57.7,52.7,29.8,27.1,0.0,0.0,32.4,29.0,-0.5,-0.1,2.1,2.1,4.0,3.3,
1617velv-flt3,12273,Toxic Fire,3,8,278,150,6,,0.67,29.1,29.1,21.8,22.6,24.3,21.9,0.0,0.0,3.0,5.5,0.7,0.7,1.1,1.0,6.1,5.5,
1617velv-flt3,5937,Renaissance Robotics,4,8,250,145,6,,0.67,36.7,34.7,29.1,28.3,10.3,10.0,0.0,0.0,20.6,19.6,-0.3,0.2,6.1,4.9,1.6,1.5,
1617velv-flt3,10650,HazMat Robotics Biohazards,5,8,245,145,6,,0.67,44.6,42.8,48.4,45.1,17.6,17.2,0.0,0.0,24.9,23.5,5.5,4.4,-3.4,-2.3,-0.5,-0.0,
1617velv-flt3,9930,Robo-Knights,6,8,221,110,6,,0.67,36.8,37.6,31.5,32.6,16.8,16.9,0.0,0.0,13.8,14.6,-1.1,-0.4,7.3,6.5,-2.0,-1.5,
1617velv-flt3,6327,Fetch,7,8,210,165,6,,0.67,46.7,43.1,34.4,32.9,22.1,19.6,0.0,0.0,18.7,18.4,-0.3,0.1,6.3,4.9,6.1,5.2,
1617velv-flt3,6090,Rock Star Robotics,8,6,200,60,6,,0.50,18.7,19.8,21.1,20.8,-5.7,-2.8,0.0,0.0,19.0,17.6,5.3,4.3,0.1,0.7,-2.5,-1.8,
1617velv-flt3,7142,Deceptidogs,9,6,158,60,6,,0.50,9.0,11.6,11.2,12.6,-4.8,-1.6,0.0,0.0,11.3,10.3,2.0,2.0,0.4,0.9,-2.7,-1.9,
1617velv-flt3,8601,Godly Gears,10,6,113,80,6,,0.50,6.1,8.9,3.1,5.7,0.3,1.9,0.0,0.0,7.7,8.5,0.1,-0.2,-1.9,-1.4,4.9,4.5,
1617velv-flt3,10050,Raccoon Robotics,11,4,260,90,6,,0.33,36.6,33.5,27.4,25.6,15.9,14.3,0.0,0.0,9.8,10.0,1.6,1.2,9.3,7.9,-0.1,-0.1,
1617velv-flt3,3939,Bolts of Steel,12,4,211,110,6,,0.33,25.2,25.4,24.1,24.3,18.7,17.4,0.0,0.0,-2.9,0.2,6.7,5.6,2.7,2.2,-1.6,-1.2,
1617velv-flt3,11427,B^2,13,2,220,55,6,,0.17,10.8,13.4,9.8,12.3,3.2,4.6,0.0,0.0,8.9,9.0,0.1,0.7,-1.3,-1.0,2.3,2.0,
1617velv-flt3,12151,M.A.V. (Mechanic Android Vikings),14,2,155,45,6,,0.17,2.5,6.5,1.9,5.6,2.4,3.3,0.0,0.0,0.9,3.1,-0.7,-0.1,-0.1,0.0,0.8,0.7,
1617velv-flt3,8614,Olympia Robotic Titan,15,2,146,95,6,,0.17,-12.5,-3.5,-6.6,0.3,-8.0,-3.3,0.0,0.0,-0.9,2.0,0.6,0.7,-4.4,-3.0,-1.6,-0.9,
