TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-flt3,7826,Mini-Moose,1,10,379,165,6,,0.83,77.3,68.9,
1617velv-flt3,9930,Robo-Knights,2,10,286,110,7,,0.71,36.8,37.6,
1617velv-flt3,9779,PIEaters,3,8,320,145,6,,0.67,63.8,58.2,
1617velv-flt3,12273,Toxic Fire,4,8,308,150,6,,0.67,29.1,29.1,
1617velv-flt3,5937,Renaissance Robotics,5,8,290,145,6,,0.67,36.7,34.7,
1617velv-flt3,6327,Fetch,6,8,250,165,6,,0.67,46.7,43.1,
1617velv-flt3,10650,HazMat Robotics Biohazards,7,8,245,145,6,,0.67,44.6,42.8,
1617velv-flt3,6090,Rock Star Robotics,8,6,200,60,6,,0.50,18.7,19.8,
1617velv-flt3,7142,Deceptidogs,9,6,158,60,6,,0.50,9.0,11.6,
1617velv-flt3,8601,Godly Gears,10,6,148,80,7,,0.43,6.1,8.9,
1617velv-flt3,10050,Raccoon Robotics,11,4,310,90,6,,0.33,36.6,33.5,
1617velv-flt3,3939,Bolts of Steel,12,4,211,110,6,,0.33,25.2,25.4,
1617velv-flt3,11427,B^2,13,2,220,55,6,,0.17,10.8,13.4,
1617velv-flt3,12151,M.A.V. (Mechanic Android Vikings),14,2,165,45,6,,0.17,2.5,6.5,
1617velv-flt3,8614,Olympia Robotic Titan,15,2,146,95,6,,0.17,-12.5,-3.5,
