TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-ga-cmp,6047,Twisted Axles,1,10,444,175,5,WC,1.00,85.3,78.1,81.0,75.8,30.4,30.7,0.0,0.0,22.0,21.5,30.9,25.0,2.1,0.8,2.3,1.5,
1617velv-ga-cmp,7153,Vindicem,2,10,340,165,5,SC,1.00,100.4,88.6,96.7,86.5,45.5,40.1,0.0,0.0,54.4,48.0,-2.1,-1.2,2.7,1.7,1.1,0.5,
1617velv-ga-cmp,5494,Oscar,3,10,250,170,5,W1,1.00,76.3,70.3,75.3,67.9,46.7,40.9,0.0,0.0,28.4,26.0,-5.0,-2.6,6.2,6.0,-5.2,-3.5,
1617velv-ga-cmp,11383,Fortissimus,4,8,375,150,5,FC,0.80,35.3,41.2,36.8,42.3,15.0,18.0,0.0,0.0,19.3,20.9,3.4,3.7,-2.5,-1.5,0.9,0.4,
1617velv-ga-cmp,11702,Sentinel Robotics,5,8,360,165,5,SC,0.80,107.4,92.7,112.7,95.7,53.7,45.2,0.0,0.0,26.1,24.2,31.2,25.4,-3.5,-2.2,-1.8,-0.8,
1617velv-ga-cmp,9835,Robochicks,6,8,280,120,5,,0.80,40.0,42.8,39.1,41.9,29.6,27.4,0.0,0.0,9.4,11.4,1.6,3.7,-0.5,0.2,1.4,0.7,
1617velv-ga-cmp,10068,Duct-Ties & Zip-Tape,7,8,245,165,5,W2,0.80,43.7,45.5,28.9,32.4,15.7,17.1,0.0,0.0,20.9,20.0,-8.0,-4.9,15.2,13.2,-0.4,-0.1,
1617velv-ga-cmp,2981,Red RoboDragon,8,8,245,140,5,S1,0.80,38.8,40.0,44.5,43.4,20.7,21.7,0.0,0.0,18.7,19.4,0.1,-0.7,-0.7,-0.5,-5.0,-3.0,
1617velv-ga-cmp,11364,Eagle Robotics - Diamond Plate,9,7,350,110,5,S2,0.70,42.7,42.8,50.5,48.3,23.1,22.3,0.0,0.0,27.2,25.2,-1.5,-0.7,-6.1,-4.2,-1.6,-1.4,
1617velv-ga-cmp,4221,Smíða Syndicate,10,6,390,175,5,S1,0.60,65.7,65.4,73.5,69.5,39.1,35.3,0.0,0.0,33.1,31.8,0.6,2.1,-7.1,-3.8,-0.7,-0.3,
1617velv-ga-cmp,4100,Darbots 1,11,6,390,140,5,F1,0.60,67.5,61.2,62.7,56.4,30.8,27.3,0.0,0.0,35.3,30.8,1.8,2.8,-0.4,0.2,5.1,4.7,
1617velv-ga-cmp,6989,Spartan Black Robotics,12,6,309,165,5,,0.60,34.9,39.6,36.3,40.9,15.5,17.2,0.0,0.0,19.7,19.1,3.9,5.9,-4.3,-2.6,2.8,1.4,
1617velv-ga-cmp,6278,RoboGlads,13,6,265,125,5,,0.60,34.2,36.2,37.4,38.2,5.7,8.5,0.0,0.0,22.9,22.9,5.5,4.9,0.1,-0.2,-3.3,-1.8,
1617velv-ga-cmp,8678,GalaXXy,14,6,145,165,5,,0.60,49.7,47.0,23.4,26.1,14.3,16.3,0.0,0.0,14.2,15.5,2.4,0.7,18.8,14.5,7.4,6.4,
1617velv-ga-cmp,11750,Bellatorum,15,5,380,150,5,S2,0.50,52.5,51.3,46.2,46.0,38.0,34.2,0.0,0.0,10.6,11.5,1.4,2.4,2.5,3.1,3.8,2.2,
1617velv-ga-cmp,8566,Firebirds,16,5,289,135,5,F2,0.50,37.2,38.8,49.8,45.8,32.1,27.0,0.0,0.0,11.4,11.8,2.8,4.9,-9.1,-5.0,-3.5,-2.0,
1617velv-ga-cmp,5991,Tigerbytes,17,5,265,125,5,,0.50,16.2,24.2,3.2,15.1,3.9,10.1,0.0,0.0,7.7,11.0,1.9,1.9,2.6,1.1,10.4,8.0,
1617velv-ga-cmp,7361,Ctrl-Alt-Del,18,5,255,75,5,,0.50,26.6,27.0,36.3,33.4,10.6,11.4,0.0,0.0,15.6,16.2,1.6,0.3,-1.2,-1.0,-8.5,-5.4,
1617velv-ga-cmp,5177,"Global Dynamics ""Noodle Squad""",19,5,212,130,5,,0.50,24.1,27.4,24.3,25.9,12.2,13.9,0.0,0.0,14.2,15.3,0.8,0.2,-3.1,-2.1,2.9,3.6,
