TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-hilj,7550,Fig Newtons,1,10,235,140,5,,
1617velv-hilj,8898,Iolani,2,10,230,140,5,,
1617velv-hilj,5159,Cantina Band,3,6,265,100,5,,
1617velv-hilj,6109,Punabots,4,6,175,275,5,,
1617velv-hilj,8740,Iobotics,5,5,175,95,5,,
1617velv-hilj,9066,Crouton Free,6,5,170,275,5,,
1617velv-hilj,9850,Hoco,7,5,165,100,5,,
1617velv-hilj,7548,Velocity,8,5,100,50,5,,
1617velv-hilj,7549,Matrix,9,4,170,90,5,,
1617velv-hilj,9772,LJA Bulldogs,10,4,140,65,5,,
1617velv-hilj,5902,Team Musubi,11,4,80,50,5,,
1617velv-hilj,6963,BuffnBlue5,12,2,205,85,5,,
1617velv-hilj,11165,O-Bots,13,2,180,70,5,,
1617velv-hilj,8741,Iolani,14,2,120,95,5,,
