TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA0Pk,RA1Pk,BTBeac,BTCent,BTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA0Pk,BA1Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-il-cc3-Q-1,1,1,1,7007,3216,0,10387,7030,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,0,1,0,1,0,0,0,0,0,0,0,
1617velv-il-cc3-Q-2,1,1,2,11928,9162,0,10182,11795,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-il-cc3-Q-3,1,1,3,7007,10182,0,10387,9162,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,0,0,0,0,0,0,true,0,0,1,0,2,0,0,0,0,0,0,0,
1617velv-il-cc3-Q-4,1,1,4,11795,3216,0,11928,7030,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-il-cc3-Q-5,1,1,5,11795,7030,0,7007,9162,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,1,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-il-cc3-Q-6,1,1,6,10387,10182,0,3216,11928,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,3,0,0,0,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-il-cc3-Q-7,1,1,7,10182,11928,0,7030,7007,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-il-cc3-Q-8,1,1,8,11795,9162,0,3216,10387,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,0,0,0,0,0,1,0,0,true,0,0,1,0,1,0,0,1,1,0,0,0,
1617velv-il-cc3-Q-9,1,1,9,10182,3216,0,7007,11795,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-il-cc3-Q-10,1,1,10,9162,7030,0,11928,10387,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,0,0,0,true,0,0,0,1,2,0,0,0,0,0,0,0,
