TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-il-cn1-Q-1,1,1,1,9775,10481,0,11474,10888,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,0,0,0,0,0,1,0,0,true,0,0,0,1,0,0,0,0,1,0,0,0,
1617velv-il-cn1-Q-2,1,1,2,4965,3507,0,10510,10308,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-il-cn1-Q-3,1,1,3,10240,9775,0,4965,10481,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,2,0,0,0,0,0,0,
1617velv-il-cn1-Q-4,1,1,4,3507,10308,0,10240,10510,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,1,0,0,2,0,0,0,0,1,0,0,true,0,0,0,2,0,0,0,0,1,0,0,0,
1617velv-il-cn1-Q-5,1,1,5,11474,10308,0,10888,3507,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,1,0,0,true,2,0,0,1,2,3,0,0,1,0,0,0,
1617velv-il-cn1-Q-6,1,1,6,11474,10481,0,4965,10240,0,0,0,0,false,false,false,0,0,0,false,false,false,1,1,0,1,0,0,1,0,true,0,0,1,0,2,0,0,0,0,0,0,0,0,true,1,0,0,0,2,4,0,0,0,0,0,0,
1617velv-il-cn1-Q-7,1,1,7,10888,9775,0,10510,4965,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,1,0,0,0,0,0,0,0,0,true,0,0,0,0,3,2,0,0,0,0,0,0,
1617velv-il-cn1-Q-8,1,1,8,10308,10240,0,9775,11474,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,2,0,0,0,1,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,1,0,
1617velv-il-cn1-Q-9,1,1,9,3507,10510,0,10481,10888,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,1,0,1,0,1,0,0,0,0,0,0,true,0,0,0,1,2,0,0,0,0,0,0,0,
1617velv-il-cn1-Q-10,1,1,10,10888,10510,0,10240,11474,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,2,0,0,0,0,0,0,0,0,true,0,0,0,2,2,0,0,0,0,0,0,0,
1617velv-il-cn1-Q-11,1,1,11,4965,9775,0,3507,10481,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,0,3,3,0,0,0,0,0,0,0,true,1,0,0,0,1,1,0,0,0,0,0,0,
1617velv-il-cn1-Q-12,1,1,12,11474,10481,0,10308,4965,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,1,1,0,0,0,0,0,0,0,0,true,1,0,0,0,2,3,0,0,0,0,0,0,
