TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-il-cn2,3507,RoboTheosis,1,8,195,95,5,,0.80,56.6,50.2,51.2,45.3,19.9,16.8,0.0,0.0,13.7,12.9,25.7,22.1,-2.7,-1.8,8.1,6.5,
1617velv-il-cn2,10240,ShamBot Green,2,8,185,85,5,,0.80,25.1,25.8,19.0,20.6,3.5,4.8,0.0,0.0,9.2,10.4,3.5,3.5,8.9,6.9,-2.8,-1.9,
1617velv-il-cn2,11474,Horizon Huskies,3,8,152,85,5,,0.80,23.8,24.8,17.8,19.6,-0.2,1.8,0.0,0.0,11.7,12.4,3.5,3.5,8.9,6.9,-2.8,-1.9,
1617velv-il-cn2,10510,I'm BOTman,4,7,177,85,5,,0.70,29.8,29.6,29.7,29.6,2.0,3.4,0.0,0.0,3.1,5.3,22.8,19.7,1.9,1.0,-1.8,-1.1,
1617velv-il-cn2,4965,Animatores Romani,5,6,160,70,5,,0.60,41.0,36.5,43.4,38.1,22.6,18.5,0.0,0.0,21.3,18.0,1.6,2.6,-4.4,-2.7,2.0,1.1,
1617velv-il-cn2,10481,ShamBot Gold,6,4,100,95,5,,0.40,16.5,17.7,19.5,19.8,4.3,4.0,0.0,0.0,23.8,21.1,-8.4,-5.5,-3.2,-2.0,0.2,-0.0,
1617velv-il-cn2,9775,Intrinsic Schools Belmont Campus,7,3,150,70,5,,0.30,18.1,17.3,18.3,17.4,0.2,0.5,0.0,0.0,12.9,11.9,4.7,4.5,0.4,0.3,-0.6,-0.5,
1617velv-il-cn2,10888,Team Kirobo,8,3,135,70,5,,0.30,11.7,13.0,7.9,9.3,5.8,5.3,0.0,0.0,8.8,8.3,0.1,1.2,-3.0,-2.0,6.8,5.6,
1617velv-il-cn2,11818,CYC Crown Commanders,9,2,70,65,5,,0.20,5.6,8.1,5.2,7.9,3.8,4.5,0.0,0.0,-0.1,2.5,-0.0,-0.1,1.9,1.0,-1.5,-0.9,
1617velv-il-cn2,10308,High Voltage Bandits,10,1,110,50,5,,0.10,0.8,4.6,1.1,4.8,-1.9,-0.4,0.0,0.0,-0.2,1.5,2.2,2.8,0.7,0.4,-1.0,-0.7,
