TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-il-cq-Q-1,Q-1,70-45 R,11795,10182,0,10253,10109,0,70,0,0,20,10,40,45,25,0,20,0,0,false,false,false,false,
1617velv-il-cq-Q-2,Q-2,45-0 R,3758,10387,0,116,10510,0,45,5,0,40,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-il-cq-Q-3,Q-3,15-60 B,10888,10308,0,12083,3507,0,15,15,0,0,0,0,60,10,0,40,10,0,false,false,false,false,
1617velv-il-cq-Q-4,Q-4,10-50 B,9775,12300,0,11818,3216,0,10,10,0,0,0,0,50,10,0,40,0,0,false,false,false,false,
1617velv-il-cq-Q-5,Q-5,25-45 B,7030,11474,0,10240,11928,0,25,5,0,20,0,0,45,10,0,35,0,0,false,false,false,false,
1617velv-il-cq-Q-6,Q-6,22-50 B,11207,11822,0,9162,10481,0,22,5,0,7,0,10,50,0,0,40,0,10,false,false,false,false,
1617velv-il-cq-Q-7,Q-7,95-45 R,4965,10510,0,11647,7007,0,95,45,0,20,20,10,45,5,0,40,0,0,false,false,false,false,
1617velv-il-cq-Q-8,Q-8,45-110 B,3216,11795,0,116,12083,0,45,5,0,30,0,10,110,20,0,10,0,80,false,false,false,false,
1617velv-il-cq-Q-9,Q-9,60-55 R,10253,10387,0,9775,3507,0,60,10,0,30,10,10,55,0,0,15,40,0,false,false,false,false,
1617velv-il-cq-Q-10,Q-10,45-15 R,10109,11647,0,7030,10888,0,45,15,0,30,0,0,15,15,0,0,0,0,false,false,false,false,
1617velv-il-cq-Q-11,Q-11,25-70 B,3758,10240,0,11822,4965,0,25,5,0,20,0,0,70,15,0,55,0,0,false,false,false,false,
1617velv-il-cq-Q-12,Q-12,10-2 R,12300,7007,0,11207,10308,0,10,0,0,10,0,0,2,0,0,2,0,0,false,false,false,false,
1617velv-il-cq-Q-13,Q-13,40-20 R,11928,11818,0,10182,9162,0,40,0,0,30,0,10,20,10,0,10,0,0,false,false,false,false,
1617velv-il-cq-Q-14,Q-14,26-25 R,11474,3758,0,10481,10109,0,26,10,0,16,0,0,25,5,0,20,0,0,false,false,false,false,
1617velv-il-cq-Q-15,Q-15,45-45 T,11795,10240,0,10308,9775,0,45,15,0,30,0,0,45,10,0,35,0,0,true,false,false,false,
1617velv-il-cq-Q-16,Q-16,32-30 R,11207,3216,0,4965,10888,0,32,0,0,32,0,0,30,0,0,30,0,0,false,false,false,false,
1617velv-il-cq-Q-17,Q-17,50-50 T,10182,10510,0,7030,12083,0,50,30,0,10,0,10,50,20,0,30,0,0,false,false,false,false,
1617velv-il-cq-Q-18,Q-18,30-10 R,10481,11928,0,11647,10387,0,30,0,0,30,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-il-cq-Q-19,Q-19,55-10 R,116,7007,0,11822,11818,0,55,15,0,40,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-il-cq-Q-20,Q-20,65-90 B,9162,3507,0,12300,11474,0,65,15,0,20,20,10,90,10,0,20,20,40,false,false,false,false,
1617velv-il-cq-Q-21,Q-21,60-45 R,10253,12083,0,3758,11928,0,60,20,0,20,10,10,45,15,0,20,0,10,false,false,false,false,
