TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-il-cq,12083,De La Salle Meteorites,1,9,155,110,5,FC,0.90,43.4,39.1,22.7,21.0,10.0,8.7,0.0,0.0,13.7,14.2,-1.1,-0.1,20.8,16.3,-0.1,1.8,
1617velv-il-cq,11474,Horizon Huskies,2,8,225,100,5,W1,0.80,42.1,37.3,36.7,31.7,13.6,11.6,0.0,0.0,8.1,9.7,10.7,8.7,9.8,7.1,-4.4,-1.6,
1617velv-il-cq,3216,Robophins,3,8,170,60,5,F2,0.80,24.6,24.6,12.2,13.4,-2.7,-0.5,0.0,0.0,23.2,19.5,7.3,6.8,-3.1,-1.3,15.5,12.5,
1617velv-il-cq,11928,Teen Connection,4,8,125,75,5,,0.80,25.9,25.1,17.2,18.3,2.5,3.1,0.0,0.0,10.7,11.6,4.6,4.4,8.0,5.9,0.7,0.9,
1617velv-il-cq,116,Crazy Eights,5,8,92,110,5,SC,0.80,29.4,29.4,14.4,17.1,4.0,5.3,0.0,0.0,13.9,13.6,-2.0,-1.0,13.4,11.4,1.5,1.0,
1617velv-il-cq,10510,I'm BOTman,6,7,150,95,5,S2,0.70,30.2,29.4,30.1,28.5,14.0,12.2,0.0,0.0,-3.5,0.2,17.2,14.5,2.4,2.4,-2.4,-1.5,
1617velv-il-cq,4965,Animatores Romani,7,6,210,100,5,WC,0.60,45.8,41.8,47.5,42.4,20.7,18.0,0.0,0.0,22.1,18.6,4.8,5.3,-1.8,-0.3,0.2,-0.4,
1617velv-il-cq,10253,Bobcats Robotics,8,6,202,60,5,SC,0.60,29.5,28.8,22.2,21.7,12.2,11.3,0.0,0.0,15.4,13.9,5.4,4.6,-3.5,-1.1,10.8,8.2,
1617velv-il-cq,3507,RoboTheosis,9,6,200,75,5,S1,0.60,38.4,35.9,32.0,29.3,4.2,4.5,0.0,0.0,11.3,10.8,25.6,21.0,-2.7,-0.6,9.1,7.2,
1617velv-il-cq,10387,Red Hot,10,6,151,70,5,,0.60,29.6,26.8,33.7,29.1,7.8,7.1,0.0,0.0,13.4,13.8,4.6,3.7,3.8,2.1,-7.9,-4.4,
1617velv-il-cq,10481,ShamBot Gold,11,6,122,70,5,,0.60,27.5,25.1,33.1,27.5,7.3,6.3,0.0,0.0,23.9,20.6,-0.4,-0.4,-3.3,-1.4,-2.3,-1.0,
1617velv-il-cq,11647,GnomeBots,12,6,117,55,5,,0.60,16.6,18.4,15.4,17.2,-1.4,0.4,0.0,0.0,22.4,19.8,-1.7,-1.1,-2.7,-0.7,4.0,2.0,
1617velv-il-cq,11818,CYC Crown Commanders,13,6,110,55,5,,0.60,13.5,15.1,13.9,15.0,4.7,3.9,0.0,0.0,10.0,11.0,-3.6,-1.7,2.5,1.8,-2.9,-1.6,
1617velv-il-cq,3758,Aztec Eagles,14,6,105,45,5,,0.60,7.9,11.6,4.9,9.0,1.1,1.9,0.0,0.0,14.2,13.3,-5.1,-3.2,-2.3,-0.4,5.2,3.1,
1617velv-il-cq,9775,Intrinsic Schools Belmont Campus,15,5,147,55,5,,0.50,23.4,21.6,28.5,24.2,6.8,5.6,0.0,0.0,13.8,13.2,3.5,3.6,-0.7,-0.8,-4.4,-1.8,
1617velv-il-cq,9162,Speer Academy,16,4,127,65,5,W2,0.40,11.7,14.6,-2.4,3.0,0.2,1.6,0.0,0.0,10.2,11.2,-1.5,-0.3,2.7,2.1,11.4,9.5,
1617velv-il-cq,7007,Techknow Bots,17,4,127,55,5,,0.40,17.8,17.0,24.8,20.8,11.4,9.5,0.0,0.0,10.9,10.7,-1.2,-0.8,-3.4,-2.5,-3.6,-1.4,
1617velv-il-cq,12300,RainbowPushBots,18,4,117,90,5,,0.40,7.9,11.6,-4.4,2.4,-2.9,-0.6,0.0,0.0,2.6,4.3,1.6,1.9,6.7,5.9,5.7,3.2,
1617velv-il-cq,10888,Team Kirobo,19,4,100,85,5,,0.40,15.7,15.6,13.6,13.6,0.4,1.8,0.0,0.0,5.8,6.7,5.3,4.5,4.2,2.5,-2.0,-0.5,
1617velv-il-cq,10240,ShamBot Green,20,3,155,45,5,S1,0.30,18.2,17.5,25.3,21.4,5.3,4.9,0.0,0.0,17.0,15.4,0.5,0.0,-4.5,-3.0,-2.6,-1.0,
1617velv-il-cq,10182,DRW Cheetahs,21,3,142,70,5,,0.30,18.8,18.1,16.7,14.4,7.4,7.0,0.0,0.0,7.3,6.3,-1.4,-0.7,5.4,5.5,-3.3,-1.8,
1617velv-il-cq,7030,RoboMinds,22,3,113,50,5,S2,0.30,4.3,8.8,7.3,10.6,6.0,6.3,0.0,0.0,8.5,7.8,-1.8,-0.7,-8.4,-4.7,5.3,2.9,
1617velv-il-cq,11795,ITW David Speer Academy 2,23,2,205,70,5,,0.20,28.6,27.4,6.8,8.7,8.3,7.2,0.0,0.0,12.7,13.2,0.0,0.4,7.6,6.6,14.2,12.2,
1617velv-il-cq,10109,Meteors,24,2,145,45,5,F1,0.20,7.6,10.8,-1.6,3.7,6.0,6.6,0.0,0.0,-4.0,0.4,2.6,2.4,2.9,1.3,6.2,5.7,
1617velv-il-cq,11822,S.T.E.M. - Bulldogs,25,2,98,70,5,,0.20,10.4,12.2,8.8,9.9,-2.6,-0.4,0.0,0.0,13.0,12.3,0.2,-0.1,-0.2,0.3,1.8,2.0,
1617velv-il-cq,11207,Iron Panthers,26,2,78,32,5,,0.20,4.7,6.1,3.6,4.8,3.2,2.8,0.0,0.0,-1.3,1.5,-0.5,-0.4,3.4,2.0,-2.2,-0.7,
1617velv-il-cq,10308,High Voltage Bandits,27,1,123,45,5,,0.10,8.3,10.6,7.1,10.0,6.0,5.7,0.0,0.0,4.6,5.8,-1.6,-0.8,-0.7,-0.1,1.8,0.7,
