TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-il-cs1-Q-1,Q-1,0-17 B,11822,10109,0,329,10253,0,0,0,0,0,0,0,17,5,0,12,0,0,
1617velv-il-cs1-Q-2,Q-2,0-0 T,11647,116,0,9635,3758,0,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-il-cs1-Q-3,Q-3,0-0 T,12083,11207,0,2813,11921,0,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-il-cs1-Q-4,Q-4,32-0 R,11822,329,0,11647,3758,0,32,10,0,22,0,0,0,0,0,0,0,0,
1617velv-il-cs1-Q-5,Q-5,0-5 B,11921,11207,0,9635,10109,0,0,0,0,0,0,0,5,5,0,0,0,0,
1617velv-il-cs1-Q-6,Q-6,5-1 R,2813,10253,0,116,12083,0,5,5,0,0,0,0,1,0,0,1,0,0,
1617velv-il-cs1-Q-7,Q-7,28-45 B,11647,329,0,10109,11921,0,28,5,0,23,0,0,45,5,0,0,0,40,
1617velv-il-cs1-Q-8,Q-8,20-20 T,3758,10253,0,11207,2813,0,20,10,0,0,0,10,20,0,0,20,0,0,
1617velv-il-cs1-Q-9,Q-9,10-20 B,116,9635,0,11822,12083,0,10,0,0,0,0,10,20,10,0,0,10,0,
1617velv-il-cs1-Q-10,Q-10,15-5 R,3758,11921,0,10109,10253,0,15,5,0,10,0,0,5,5,0,0,0,0,
1617velv-il-cs1-Q-11,Q-11,15-20 B,2813,12083,0,11647,11822,0,15,5,0,0,0,10,20,0,0,20,0,0,
1617velv-il-cs1-Q-12,Q-12,0-41 B,9635,11207,0,329,116,0,0,0,0,0,0,0,41,0,0,41,0,0,
1617velv-il-cs1-Q-13,Q-13,0-15 B,12083,11921,0,3758,11822,0,0,0,0,0,0,0,15,5,0,10,0,0,
1617velv-il-cs1-Q-14,Q-14,45-0 R,329,10109,0,2813,116,0,45,5,0,30,10,0,0,0,0,0,0,0,
1617velv-il-cs1-Q-15,Q-15,20-5 R,11647,9635,0,11207,10253,0,20,0,0,20,0,0,5,5,0,0,0,0,
