TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA0Pk,RA1Pk,BTBeac,BTCent,BTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA0Pk,BA1Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-il-scc3-Q-1,1,1,1,9985,10146,0,11283,6995,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,0,0,0,0,1,4,0,0,0,0,0,0,0,true,0,0,0,1,3,1,0,1,0,0,0,0,
1617velv-il-scc3-Q-2,1,1,2,11072,11235,0,11373,11496,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,0,0,1,3,0,0,0,0,0,0,0,0,1,false,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-il-scc3-Q-3,1,1,3,8648,6994,0,6933,8899,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,3,0,2,0,0,0,0,0,true,3,0,0,0,4,3,0,0,0,0,0,0,
1617velv-il-scc3-Q-4,1,1,4,5202,9788,0,11463,9506,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,0,0,0,0,0,5,0,2,0,0,0,0,0,false,1,0,0,0,4,1,0,0,0,0,0,0,
1617velv-il-scc3-Q-5,1,1,5,11235,10146,0,9985,8648,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,3,0,0,0,0,0,0,2,true,2,0,0,0,4,3,0,0,0,0,0,0,
1617velv-il-scc3-Q-6,1,1,6,8899,9788,0,11373,5202,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,4,3,0,1,0,0,0,0,1,false,0,0,0,0,0,6,0,3,0,0,0,0,
1617velv-il-scc3-Q-7,1,1,7,11463,11496,0,11283,6933,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,3,0,0,0,0,0,0,0,0,false,1,0,0,0,1,6,0,0,0,0,0,0,
1617velv-il-scc3-Q-8,1,1,8,11072,6995,0,6994,9506,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,3,1,4,5,0,0,0,0,0,0,0,true,1,0,1,0,0,4,0,3,0,0,0,0,
1617velv-il-scc3-Q-9,1,1,9,11463,6933,0,11373,9985,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,6,0,1,0,0,0,0,2,false,0,0,1,0,4,0,0,0,0,0,0,0,
1617velv-il-scc3-Q-10,1,1,10,11283,9788,0,6994,11235,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,0,0,2,0,0,0,0,0,true,1,0,0,1,4,3,0,3,0,0,0,0,
1617velv-il-scc3-Q-11,1,1,11,10146,9506,0,11496,8899,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,0,2,0,0,0,0,0,0,1,false,0,0,0,0,4,1,3,0,0,0,0,0,
1617velv-il-scc3-Q-12,1,1,12,8648,6995,0,11072,5202,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,1,4,4,0,0,0,0,0,0,1,false,1,0,3,0,0,8,0,3,0,0,0,0,
1617velv-il-scc3-Q-13,1,1,13,9506,8899,0,9985,11235,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,0,1,0,0,0,0,1,1,false,0,0,0,0,0,0,0,0,0,1,0,0,
1617velv-il-scc3-Q-14,1,1,14,8648,11496,0,9788,6995,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,1,2,0,0,0,0,0,0,0,true,0,0,0,0,3,3,0,1,0,0,0,0,
1617velv-il-scc3-Q-15,1,1,15,11463,11373,0,10146,6994,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,0,0,0,1,3,0,0,0,0,0,0,0,0,true,0,0,1,0,1,0,0,3,0,0,0,0,
