TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-il-scq-Q-1,1,1,1,8899,11752,0,11496,11235,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,1,1,3,0,4,0,3,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-il-scq-Q-2,1,1,2,9788,11283,0,11373,8648,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,0,0,0,0,0,0,0,1,true,0,0,0,0,4,2,0,1,0,0,0,0,
1617velv-il-scq-Q-3,1,1,3,8620,11072,0,11463,10303,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,3,3,5,0,0,0,0,0,0,0,true,0,0,1,0,1,0,0,0,0,0,0,0,
1617velv-il-scq-Q-4,1,1,4,11464,6206,0,6933,9506,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,1,0,0,2,0,0,0,0,0,true,0,0,0,0,2,1,0,0,0,0,0,0,
1617velv-il-scq-Q-5,1,1,5,10146,7129,0,9985,6994,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,1,0,1,0,1,11,0,2,0,0,0,0,1,false,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-il-scq-Q-6,1,1,6,5202,6995,0,11462,10008,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,1,3,4,0,3,0,0,0,0,0,false,0,0,0,0,1,3,0,0,0,0,0,0,
1617velv-il-scq-Q-7,1,1,7,5187,11289,0,9593,8943,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,1,0,0,0,0,0,0,0,false,0,0,0,0,1,1,0,0,0,0,0,0,
1617velv-il-scq-Q-8,1,1,8,9788,10303,0,11235,9506,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,1,0,0,4,4,3,0,0,0,0,0,0,
1617velv-il-scq-Q-9,1,1,9,9985,10008,0,8648,8899,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,0,0,0,0,4,0,0,0,0,0,0,0,1,true,1,0,0,3,0,3,1,0,0,0,0,0,
1617velv-il-scq-Q-10,1,1,10,11283,6206,0,11496,9593,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,0,0,0,3,0,0,0,0,0,false,0,0,0,0,4,0,0,0,0,0,0,0,
