TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-il-wq-Q-1,1,1,1,11177,7317,0,10609,7738,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,3,0,1,0,0,0,0,1,false,0,0,0,0,0,3,0,3,0,0,0,0,
1617velv-il-wq-Q-2,1,1,2,6596,11382,0,10371,7869,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,2,0,0,0,3,4,1,1,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-il-wq-Q-3,1,1,3,5037,9163,0,11772,10836,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,4,0,3,0,0,12,1,0,false,1,0,1,0,3,3,0,3,12,1,0,0,
1617velv-il-wq-Q-4,1,1,4,10635,7089,0,9411,10421,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,2,0,0,1,2,2,0,3,0,0,0,0,0,false,1,0,0,0,2,4,0,1,0,0,0,0,
1617velv-il-wq-Q-5,1,1,5,10093,9365,0,11178,3640,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,1,0,0,1,0,0,0,0,0,true,0,0,1,0,3,0,0,1,0,0,0,0,
1617velv-il-wq-Q-6,1,1,6,2923,10420,0,9189,10482,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,1,0,0,3,0,0,0,0,0,true,0,0,1,0,3,5,0,0,0,0,0,0,
1617velv-il-wq-Q-7,1,1,7,9929,12038,0,8770,9342,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,3,3,0,0,0,0,0,0,0,true,0,2,3,0,1,0,3,0,0,0,0,0,
1617velv-il-wq-Q-8,1,1,8,12037,9425,0,10101,12036,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,2,1,0,0,0,0,false,0,0,0,0,4,1,0,3,0,0,1,0,
1617velv-il-wq-Q-9,1,1,9,4298,10421,0,10371,5037,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,1,4,0,0,0,0,0,0,0,1,false,1,0,0,0,0,6,0,3,0,0,0,0,
1617velv-il-wq-Q-10,1,1,10,11382,10609,0,9365,10836,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,0,0,0,0,2,0,0,0,0,0,1,0,0,true,0,0,0,1,2,0,0,0,1,0,0,0,
1617velv-il-wq-Q-11,1,1,11,3640,11177,0,10482,9411,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,0,0,2,0,0,0,0,0,false,0,0,0,0,0,1,0,2,0,0,0,0,
1617velv-il-wq-Q-12,1,1,12,7869,11772,0,11178,9929,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,3,2,1,0,2,0,0,0,0,0,false,2,0,0,1,2,2,0,2,0,0,0,0,
1617velv-il-wq-Q-13,1,1,13,8770,10635,0,10101,9163,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,1,0,1,0,3,4,0,3,0,0,0,0,0,false,0,0,0,0,1,0,0,3,0,0,0,0,
1617velv-il-wq-Q-14,1,1,14,7089,2923,0,7738,9425,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,2,0,0,0,2,3,0,2,0,0,0,0,0,false,0,0,0,3,1,0,0,2,0,0,0,0,
1617velv-il-wq-Q-15,1,1,15,12038,12036,0,6596,7317,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,1,0,0,0,0,0,0,0,1,false,1,0,0,0,3,5,0,1,0,0,0,0,
