TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-il-wq,10635,FVRFTC2015-4,1,10,294,150,5,WC,1.00,98.6,85.8,97.9,85.3,57.8,48.4,0.0,0.0,15.8,15.0,26.0,22.5,-1.0,-0.3,1.7,0.8,
1617velv-il-wq,5037,got robot?,2,10,231,220,5,W1,1.00,85.4,78.9,58.0,56.2,15.1,16.2,0.0,0.0,18.4,17.9,24.7,22.3,27.2,22.4,0.2,0.3,
1617velv-il-wq,6596,Robotic Rams,3,10,145,190,5,FC,1.00,103.4,89.9,112.3,95.5,65.1,53.3,0.0,0.0,43.1,37.1,2.7,3.9,-7.4,-4.6,-1.5,-0.9,
1617velv-il-wq,7089,Cyborg Eagles,4,8,256,140,5,S1,0.80,51.6,49.3,59.0,54.0,35.6,32.1,0.0,0.0,10.6,10.7,4.3,5.7,1.2,0.7,-8.5,-5.3,
1617velv-il-wq,10101,TechnoBullets,5,8,175,105,5,SC,0.80,41.4,42.4,61.4,53.6,7.9,7.6,0.0,0.0,19.6,19.0,25.1,21.7,-11.2,-6.1,-8.8,-5.1,
1617velv-il-wq,3640,The BoilerBots,6,7,223,95,5,,0.70,35.9,34.3,35.8,34.1,8.0,8.8,0.0,0.0,16.7,15.2,12.6,10.8,-1.5,-0.7,1.5,0.9,
1617velv-il-wq,9163,Techna Gators,7,6,280,220,5,,0.60,45.7,42.7,4.9,12.8,3.8,5.5,0.0,0.0,4.3,5.5,3.5,5.0,34.0,26.5,6.8,3.4,
1617velv-il-wq,10420,Mechanized Kay-OS,8,6,240,150,5,,0.60,28.8,31.9,35.7,36.0,9.8,10.9,0.0,0.0,1.5,3.5,22.9,20.9,-5.4,-3.5,-1.5,-0.6,
1617velv-il-wq,10836,STEMper Fi,9,6,235,115,5,W2,0.60,57.1,51.4,17.2,21.5,14.1,14.2,0.0,0.0,19.7,18.1,17.8,16.4,5.5,2.5,34.4,27.4,
1617velv-il-wq,11177,River Bend Red,10,6,206,120,5,,0.60,24.3,28.3,25.6,28.1,13.6,13.4,0.0,0.0,14.3,14.3,-3.9,-0.5,0.3,0.9,-1.6,-0.6,
