TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-il-ww2-Q-1,1,1,1,7317,11177,0,6675,11772,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,0,7,1,0,0,0,0,0,true,0,0,0,1,0,0,1,0,0,0,0,0,
1617velv-il-ww2-Q-2,1,1,2,10101,7869,0,9189,9163,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,3,0,4,0,0,0,0,0,0,0,0,false,2,0,0,0,0,2,0,0,0,0,0,0,
1617velv-il-ww2-Q-3,1,1,3,4298,6596,0,3640,11772,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,0,0,0,0,1,0,0,0,0,0,0,0,1,true,0,0,1,0,3,0,0,0,0,0,0,0,
1617velv-il-ww2-Q-4,1,1,4,7869,6675,0,3640,10101,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,1,0,3,0,3,0,0,1,0,0,0,0,
1617velv-il-ww2-Q-5,1,1,5,9189,4298,0,6596,11177,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,3,0,0,0,0,0,0,0,0,0,1,0,2,true,0,0,0,0,4,0,1,0,1,0,0,0,
1617velv-il-ww2-Q-6,1,1,6,9163,10101,0,7317,4298,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,3,1,0,0,0,0,0,0,1,0,true,0,0,0,0,3,0,2,0,0,1,0,0,
1617velv-il-ww2-Q-7,1,1,7,6675,9163,0,7869,6596,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,1,0,0,1,0,false,0,0,0,0,1,0,0,1,0,0,0,0,1,false,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-il-ww2-Q-8,1,1,8,3640,7317,0,9189,11177,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,5,2,0,0,1,0,0,true,2,0,0,1,4,2,0,1,1,0,0,0,
1617velv-il-ww2-Q-9,1,1,9,11772,10101,0,6675,11177,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,3,2,0,3,0,0,0,1,0,0,true,0,0,0,1,2,0,3,1,1,0,0,0,
1617velv-il-ww2-Q-10,1,1,10,7317,6596,0,4298,7869,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,0,0,0,0,2,0,5,1,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-il-ww2-Q-11,1,1,11,9189,3640,0,11772,9163,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,3,0,0,1,0,0,1,2,0,0,0,0,0,true,0,0,1,0,1,0,2,2,0,0,0,0,
1617velv-il-ww2-Q-12,1,1,12,3640,6596,0,7317,10101,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,0,1,1,0,0,0,0,1,true,0,0,0,3,1,0,4,0,0,0,0,0,
1617velv-il-ww2-Q-13,1,1,13,9189,7869,0,4298,6675,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,1,2,2,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-il-ww2-Q-14,1,1,14,11177,11772,0,9163,7869,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,0,1,2,1,0,0,0,0,true,0,0,0,1,0,0,0,0,0,0,1,0,
