TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-il-ww3,9189,Optimus Primates,1,10,196,235,5,,1.00,91.4,78.6,80.2,68.6,42.3,36.2,0.0,0.0,14.7,14.0,17.8,15.0,16.6,13.3,-5.3,-3.3,
1617velv-il-ww3,6596,Robotic Rams,2,8,195,235,5,,0.80,114.3,97.3,100.9,85.9,62.1,52.6,0.0,0.0,49.4,41.8,-3.6,-2.7,6.4,5.6,7.0,5.9,
1617velv-il-ww3,10101,TechnoBullets,3,7,235,110,5,,0.70,49.6,43.1,53.3,45.3,19.1,15.9,0.0,0.0,-0.3,2.0,31.3,25.4,-0.4,-0.3,-3.3,-2.0,
1617velv-il-ww3,11772,JAVATOMIC,4,7,125,90,5,,0.70,34.5,31.0,23.9,22.9,12.9,11.4,0.0,0.0,18.9,15.7,0.3,2.4,2.4,1.4,8.1,6.7,
1617velv-il-ww3,6675,Chargers,5,6,77,90,5,,0.60,16.6,19.3,21.6,22.5,3.3,5.0,0.0,0.0,1.8,3.9,16.8,13.6,-5.3,-3.3,0.3,0.1,
1617velv-il-ww3,11178,River Bend Black,6,5,152,140,5,,0.50,14.7,21.3,16.9,22.9,4.2,7.7,0.0,0.0,13.1,13.4,-2.0,0.5,-0.5,-0.4,-1.7,-1.2,
1617velv-il-ww3,9163,Techna Gators,7,5,145,90,5,,0.50,-11.8,1.9,-14.0,-1.0,-7.7,-0.8,0.0,0.0,-6.1,-1.8,7.4,7.7,-5.4,-3.3,7.7,6.1,
1617velv-il-ww3,4298,RoboWarriors,8,4,196,115,5,,0.40,8.6,15.5,0.2,8.7,-2.9,0.9,0.0,0.0,12.8,12.1,-7.3,-2.9,6.0,5.3,2.4,1.4,
1617velv-il-ww3,7317,Quest Gators,9,2,231,100,5,,0.20,0.2,10.5,-4.4,6.2,3.7,7.9,0.0,0.0,3.7,6.3,-2.4,-0.8,-4.8,-3.0,9.4,7.3,
1617velv-il-ww3,7869,The Robo Panthers,10,2,220,110,5,,0.20,35.8,33.0,36.3,33.3,8.3,8.3,0.0,0.0,22.8,19.7,5.2,5.2,-0.4,-0.3,0.0,-0.1,
1617velv-il-ww3,3640,The BoilerBots,11,2,150,120,5,,0.20,19.0,19.8,21.9,22.0,12.1,11.7,0.0,0.0,7.7,8.5,-2.7,-1.3,1.9,0.9,-4.9,-3.0,
1617velv-il-ww3,11177,River Bend Red,12,2,126,50,5,,0.20,8.4,9.3,12.6,11.8,1.8,2.0,0.0,0.0,1.9,4.1,5.2,3.4,-0.5,-0.4,-3.6,-2.2,
